uniprot,gene
A6NDG6,PGP
A6NL88,SHSA7
A7KAX9,RHG32
Q99613,EIF3C
F8VZJ2,F8VZJ2
O00139,KIF2A
O00154,BACH
O00178,GTPB1
O00217,NDUS8
O00231,PSD11
O00232,PSD12
O00264,PGRC1
O00330,ODPX
E9PEF1,E9PEF1
O00410,IPO5
G8JLD5,G8JLD5
F8W9B8,F8W9B8
O00483,NDUA4
O00499,BIN1
A0A0D9SF53,A0A0D9SF53
O14490,DLGP1
O14495,PLPP3
B1AJS1,B1AJS1
O14531,DPYL4
O14548,COX7R
O14576,DC1I1
O14594,NCAN
O14617,AP3D1
I3NI02,I3NI02
O14735,CDIPT
K7ESJ4,K7ESJ4
J3QRP6,J3QRP6
O14775,GNB5
O14807,RASM
D6RAG3,D6RAG3
O14818,PSA7
O14828,SCAM3
O14910,LIN7A
A0A2U3TZN6,A0A2U3TZN6
P19105,ML12A
O14980,XPO1
O15020,SPTN2
O15075,DCLK1
O15079,SNPH
O15083,ERC2
O15126,SCAM1
O15144,ARPC2
O15145,ARPC3
Q05BJ3,Q05BJ3
O15294,OGT1
H9KV31,H9KV31
O15400,STX7
O15498,YKT6
B1ALC0,B1ALC0
O43157,PLXB1
O43166,SI1L1
O43181,NDUS4
J3QRT6,J3QRT6
O43301,HS12A
O43396,TXNL1
O43399,TPD54
J3KPK1,J3KPK1
E9PHY5,E9PHY5
O43581,SYT7
O43681,ASNA
O43707,ACTN4
B5MCD7,B5MCD7
O43768,ENSA
F8WDS9,F8WDS9
O43837,IDH3B
O43865,SAHH2
O60220,TIM8A
C9IZQ6,C9IZQ6
O60262,GBG7
O60268,K0513
A0A0G2JMZ6,A0A0G2JMZ6
A0A2R8Y3X5,A0A2R8Y3X5
O60331,PI51C
O60493,SNX3
O60503,ADCY9
O60506,HNRPQ
E9PDG8,E9PDG8
C9JZR2,C9JZR2
V9GYF4,V9GYF4
Q99880,H2B1L
O60861,GAS7
O60884,DNJA2
A0A2R8Y473,A0A2R8Y473
O75061,AUXI
E7EWD3,E7EWD3
O75078,ADA11
O75083,WDR1
E9PF63,E9PF63
O75145,LIPA3
O75208,COQ9
O75306,NDUS2
O75323,NIPS2
H0YHK3,H0YHK3
A0A024QZ42,A0A024QZ42
D6RCF2,D6RCF2
O75381,PEX14
B4DJV2,B4DJV2
O75396,SC22B
O75431,MTX2
O75489,NDUS3
O75746,CMC1
O75874,IDHC
O75899,GABR2
F8WF90,F8WF90
S4R3J5,S4R3J5
O75955,FLOT1
E7EWP2,E7EWP2
B4DYP1,B4DYP1
O94772,LY6H
O94811,TPPP
O94826,TOM70
K7EIG7,K7EIG7
H7BY57,H7BY57
O94875,SRBS2
E5RHW4,E5RHW4
O94910,AGRL1
O94925,GLSK
A0A0A0MRE6,A0A0A0MRE6
O94973,AP2A2
O95140,MFN2
O95196,CSPG5
O95202,LETM1
F6PQP6,F6PQP6
O95248,MTMR5
E5RK64,E5RK64
V9GYD9,V9GYD9
O95373,IPO7
A0A1X7SBT7,A0A1X7SBT7
Q5R3B4,Q5R3B4
H0Y474,H0Y474
O95741,CPNE6
O95757,HS74L
O95782,AP2A1
O95831,AIFM1
O95837,GNA14
A0A0G2JJD3,A0A0G2JJD3
O95886,DLGP3
A0A0D9SFU4,A0A0D9SFU4
K7EKG4,K7EKG4
P00167,CYB5
P00338,LDHA
P00367,DHE3
P00492,HPRT
P00505,AATM
P00558,PGK1
P00568,KAD1
P01112,RASH
P01116,RASK
E9PR44,E9PR44
P04075,ALDOA
P04181,OAT
P04350,TBB4A
P04406,G3P
K7EM73,K7EM73
B7Z4L4,B7Z4L4
P04899,GNAI2
P05023,AT1A1
P05026,AT1B1
A0A0A0MRG2,A0A0A0MRG2
P05091,ALDH2
P05129,KPCG
P05141,ADT2
P05165,PCCA
E9PEC3,E9PEC3
P05387,RLA2
F8VPE8,F8VPE8
P05771,KPCB
P06576,ATPB
A0A2R8Y6G6,A0A2R8Y6G6
K7EQ48,K7EQ48
P06748,NPM
P07195,LDHB
P07196,NFL
E7EMV2,E7EMV2
P07237,PDIA1
P07305,H10
P07437,TBB5
P07900,HS90A
P07954,FUMH
P08133,ANXA6
P08237,PFKAM
P08238,HS90B
P08247,SYPH
P08559,ODPA
P08574,CY1
P08670,VIME
P08708,RS17
D6RBL5,D6RBL5
C9J9K3,C9J9K3
P09104,ENOG
P09417,DHPR
Q5T7C4,Q5T7C4
P09471,GNAO
P09496,CLCA
P09497,CLCB
P09543,CN37
P09622,DLDH
D6RE83,D6RE83
P09960,LKHA4
P09972,ALDOC
P0DP25,CALM3
P10412,H14
H0YDD4,H0YDD4
H0Y380,H0Y380
A0A0G2JQJ7,A0A0G2JQJ7
P10644,KAP0
P10809,CH60
P10915,HPLN1
P11021,BIP
P11137,MTAP2
P11142,HSP7C
P11177,ODPB
P11182,ODB2
P11216,PYGB
P11233,RALA
P11277,SPTB1
P11413,G6PD
P11498,PYC
E7ERJ7,E7ERJ7
P12036,NFH
P12235,ADT1
P12277,KCRB
P12532,KCRU
P12814,ACTN1
P12931,SRC
P13521,SCG2
E9PF17,E9PF17
P13637,AT1A3
P13639,EF2
A0A0A0MSQ0,A0A0A0MSQ0
H0YK49,H0YK49
P13861,KAP2
K7EMP8,K7EMP8
P14314,GLU2B
P14415,AT1B2
P14625,ENPL
P14854,CX6B1
M0QXS5,M0QXS5
