uniprot,gene
E9PP11,E9PP11
A6NL88,SHSA7
A8MVW0,F1712
F8W1N5,F8W1N5
O00139,KIF2A
K7EKP8,K7EKP8
O00194,RB27B
O00217,NDUS8
O00231,PSD11
O00264,PGRC1
O00330,ODPX
E9PEF1,E9PEF1
G8JLD5,G8JLD5
O00483,NDUA4
O00487,PSDE
O00499,BIN1
A0A1B0GTW2,A0A1B0GTW2
A0A0D9SF53,A0A0D9SF53
A8MYR7,A8MYR7
O14495,PLPP3
E9PK05,E9PK05
B1AJS1,B1AJS1
O14576,DC1I1
O14594,NCAN
H0Y7N6,H0Y7N6
J3QRP6,J3QRP6
O14807,RASM
O14828,SCAM3
O14910,LIN7A
Q5SRD1,TI23B
Q5JS72,Q5JS72
P19105,ML12A
H0YIS4,H0YIS4
O15020,SPTN2
A0A2R8Y6Z0,A0A2R8Y6Z0
O15075,DCLK1
O15079,SNPH
O15083,ERC2
O15126,SCAM1
O15144,ARPC2
O15145,ARPC3
O15294,OGT1
H9KV31,H9KV31
O15400,STX7
O43157,PLXB1
O43166,SI1L1
A0A286YFM8,A0A286YFM8
O43181,NDUS4
J3QRT6,J3QRT6
O43295,SRGP3
O43301,HS12A
J3KPK1,J3KPK1
E9PII3,E9PII3
O43526,KCNQ2
O43581,SYT7
O43681,ASNA
O43707,ACTN4
B5MCD7,B5MCD7
Q96L30,Q96L30
O43768,ENSA
O43815,STRN
O43837,IDH3B
O43865,SAHH2
O60262,GBG7
H3BNA7,H3BNA7
A0A0G2JMZ6,A0A0G2JMZ6
A0A2R8Y3X5,A0A2R8Y3X5
O60331,PI51C
O60503,ADCY9
B7Z645,B7Z645
E9PDG8,E9PDG8
O60741,HCN1
U3KQK0,U3KQK0
O60831,PRAF2
O60884,DNJA2
O75027,ABCB7
A0A075B7B5,A0A075B7B5
E7EWD3,E7EWD3
D6RD66,D6RD66
O75116,ROCK2
O75145,LIPA3
O75306,NDUS2
H0YHK3,H0YHK3
O75381,PEX14
A0A1W2PPI7,A0A1W2PPI7
