uniprot,gene
P00505,AATM
P05023,AT1A1
P05026,AT1B1
P05141,ADT2
H0YH81,H0YH81
A0A2R8Y6G6,A0A2R8Y6G6
P09471,GNAO
P10809,CH60
P11137,MTAP2
H7BYX6,H7BYX6
M0R116,M0R116
P17600,SYN1
P20020,AT2B1
H0YC04,H0YC04
C9JI87,C9JI87
P23528,COF1
P25705,ATPA
B4DJ81,B4DJ81
P30044,PRDX5
A0A2R8Y804,A0A2R8Y804
P35232,PHB
P36542,ATPG
P38606,VATA
P40926,MDHM
A0A2R8Y4D1,A0A2R8Y4D1
I3L0N3,I3L0N3
D6R9T7,D6R9T7
P60201,MYPR
P61266,STX1B
A0A1B0GWF2,A0A1B0GWF2
P61981,1433G
J3QRU4,J3QRU4
E5RGE1,E5RGE1
F5H5D3,F5H5D3
P68371,TBB4B
Q01082,SPTB2
Q9BVA1,TBB2B
Q15365,PCBP1
Q16555,DPYL2
Q99798,ACON
Q9UQM7,KCC2A
H3BQ94,H3BQ94
A0A3B3ISL1,A0A3B3ISL1
