uniprot,gene
A2A690,TANC2
A2A699,F1712
A2AG50-3,MA7D2
Z4YL78,Z4YL78
A2AJA9,AJM1
A2AJI1,A2AJI1
A2ALS5,RPGP1
A2APX8-3,SCN1A
A2AQ25-4,SKT
A2ASS6-2,TITIN
A2ASZ8-4,SCMC2
A2AV25,FBCD1
A2BDX3,MOCS3
B0F2B4,NLGN4
B0V2N1-4,PTPRS
B1AWN6,SCN2A
B1AXH1,NHSL2
B1AXV0,FRS1L
B1AZP2-2,DLGP4
B2RSH2,GNAI1
B2RXS4,PLXB2
A0A0A6YWD2,A0A0A6YWD2
A0A0R4J150,A0A0R4J150
B9EJA2-2,CTTB2
B2RXS8,B2RXS8
D3YVF0,AKAP5
D3YZU5,D3YZU5
D3Z7P3,GLSK
E9PUL5,PRRT2
A0A140T8I9,A0A140T8I9
E9Q401,RYR2
E9Q6P5,TTC7B
E9Q5N7,E9Q5N7
E9Q8I9,FRY
F6SEU4,SYGP1
Q7M739,Q7M739
F8VPU2,FARP1
G3X9J0,SI1L3
G3XA57-2,RFIP2
G5E829,AT2B1
O08532-4,CA2D1
O08539,BIN1
O08547,SC22B
O08553,DPYL2
O08579,EMD
O08583-2,THOC4
B1AWE0,B1AWE0
O08599,STXB1
Q6GT24,Q6GT24
O08749,DLDH
E9Q3M3,E9Q3M3
O08914,FAAH1
O08917,FLOT1
O08919,NUMBL
O08989,RASM
Q3TMX0,Q3TMX0
B0R029,B0R029
O09111,NDUBB
Q3TMU8,Q3TMU8
O35127,C10
O35129,PHB2
O35136,NCAM2
O35295,PURB
O35326,SRSF5
O35375-5,NRP2
O35382,EXOC4
Q0VDM6,Q0VDM6
E9Q1V3,E9Q1V3
O35449,PRRT1
O35465,FKBP8
O35526,STX1A
O35593,PSDE
E9Q855,E9Q855
O35633-2,VIAAT
Q5SVG5,Q5SVG5
O35678,MGLL
G3X9Y1,G3X9Y1
O35682,MYADM
O35874,SATT
B7ZNF6,B7ZNF6
O35954,PITM1
O35963,RB33B
O54734,OST48
O54774,AP3D1
O54829,RGS7
O54865,GCYB1
E9QMY1,E9QMY1
O54983,CRYM
O54984,ASNA
O54988-2,SLK
O54991,CNTP1
A2AIS0,A2AIS0
O55022,PGRC1
Q80ZJ2,Q80ZJ2
O55026,ENTP2
O55042-2,SYUA
O55074,AKA7A
O55100-2,SNG1
O55106,STRN
O55125,NIPS1
O55143,AT2A2
O70161-3,PI51C
Q8C4G3,Q8C4G3
O70252,HMOX2
O70310,NMT1
Q80UE4,Q80UE4
S4R1E5,S4R1E5
M0QWY0,M0QWY0
Q8BH40,Q8BH40
O70443,GNAZ
D3Z789,D3Z789
O70503,DHB12
O70589-2,CSKP
O70591,PFD2
O88342,WDR1
A7E1Z5,A7E1Z5
Q91XH6,Q91XH6
O88441,MTX2
O88444,ADCY1
O88485-2,DC1I1
A2BFF8,A2BFF8
O88531,PPT1
O88543,CSN3
F6QTS1,F6QTS1
O88569-3,ROA2
O88630,GOSR1
G5E884,G5E884
Q91XW9,Q91XW9
O88703,HCN2
O88704,HCN1
A0A0J9YUM4,A0A0J9YUM4
O88737,BSN
O88741,GDAP1
O88844,IDHC
Q6XE40,Q6XE40
O88935,SYN1
O88952,LIN7C
Q8R357,Q8R357
O89053,COR1A
B2KGR2,B2KGR2
P00405,COX2
P00493,HPRT
P00920,CAH2
A0A1L1SUX8,A0A1L1SUX8
P02088,HBB1
P02089,HBB2
E0CZ27,E0CZ27
P03921,NU5M
P03930,ATP8
P03995-2,GFAP
P04370-4,MBP
P04919-2,B3AT
P04925,PRIO
P05063,ALDOC
P05064,ALDOA
P05132,KAPCA
P05201,AATC
P05202,AATM
F8WI90,F8WI90
P05532,KIT
A0A1B0GSR9,A0A1B0GSR9
P06745,G6PI
P06837,NEUM
P07724,ALBU
P07901,HS90A
P08113,ENPL
A0A1B0GX15,A0A1B0GX15
P08228,SODC
P08249,MDHM
P08551,NFL
P08553,NFM
P08752,GNAI2
P09405,NUCL
P09411,PGK1
P09671,SODM
A0A0A6YVR9,A0A0A6YVR9
P0C192,LRC4B
D3Z5R4,D3Z5R4
A0A0A6YW67,A0A0A6YW67
P0DP28,CALM3
P0DP60,LYNX1
P10126,EF1A1
Q8BTU6,Q8BTU6
A0A0A0MQC7,A0A0A0MQC7
P10649,GSTM1
Q8CGP2,H2B1P
P10922,H10
P11438,LAMP1
P11499,HS90B
P11798,KCC2A
P11881-8,ITPR1
P11983,TCPA
P12023-2,A4
P12382,PFKAL
P12657,ACM1
P12787,COX5A
D3Z0V6,D3Z0V6
P12960,CNTN1
P12970,RL7A
E0CXN5,E0CXN5
P14094,AT1B1
P14148,RL7
P14152,MDHC
P14206,RSSA
P14211,CALR
P14231,AT1B2
P14733,LMNB1
F8WIT2,F8WIT2
P14869,RLA0
P14873,MAP1B
P15105,GLNA
D3YYT0,D3YYT0
P15209-4,NTRK2
P15388-3,KCNC1
P15532,NDKA
P15864,H12
P16054,KPCE
P16125,LDHB
P16283-2,B3A3
P16330,CN37
P16388,KCNA1
P16858,G3P
Q3TE85,Q3TE85
P17156,HSP72
P17182,ENOA
P17183,ENOG
P17426,AP2A1
P17427,AP2A2
P17710-3,HXK1
P17742,PPIA
P17751,TPIS
P17809,GTR1
Q61696,HS71A
Q91V35,Q91V35
F8WIR1,F8WIR1
J3QP71,J3QP71
P18760,COF1
P18872,GNAO
P19096,FAS
P19157,GSTP1
P19246,NFH
D3YWI4,D3YWI4
P19536,COX5B
P19783,COX41
P20029,BIP
P20065-2,TYB4
P20108,PRDX3
P20152,VIME
P20357,MTAP2
Q3ZB60,Q3ZB60
P21278,GNA11
P21279,GNAQ
A2APX3,A2APX3
P21995,EMB
P22723,GBRG2
P23242,CXA1
P23506,PIMT
P24369,PPIB
P24527,LKHA4
P24668,MPRD
D3YVC1,D3YVC1
P26039,TLN1
P26040,EZRI
P26048,GBRA2
P26049,GBRA3
P26231,CTNA1
P26350,PTMA
P26443,DHE3
P26638,SYSC
P26645,MARCS
P27546-2,MAP4
P27601,GNA13
P27659,RL3
P27671,RGRF1
P27773,PDIA3
P28184,MT3
P28652,KCC2B
Q3TF41,Q3TF41
A2AS98,A2AS98
P28661-3,SEPT4
P28663,SNAB
P28667,MRP
P28738,KIF5C
P28740-2,KIF2A
P29341,PABP1
P29387,GBB4
P29595,NEDD8
P29758,OAT
P30275,KCRU
P31324,KAP3
P31648,SC6A1
P31650,S6A11
P31786,ACBP
P31938,MP2K1
P32037,GTR3
P32883-2,RASK
P32921-2,SYWC
P34884,MIF
A8JYK8,A8JYK8
P35278,RAB5C
P35279,RAB6A
P35282,RAB21
P35283,RAB12
A2ARZ7,A2ARZ7
P35288,RAB23
P35293,RAB18
P35436,NMDE1
P35486,ODPA
P35564,CALX
B1AXW5,B1AXW5
P35762,CD81
P35802,GPM6A
P35979,RL12
A0A1B0GQU8,A0A1B0GQU8
P36916,GNL1
Q05DV1,Q05DV1
P38647,GRP75
Q3T9X3,Q3T9X3
P39087-2,GRIK2
P40124,CAP1
P40142,TKT
P40237,CD82
D3Z0F3,D3Z0F3
P41105,RL28
D3Z041,D3Z041
P42125,ECI1
P42208,SEPT2
P42669,PURA
P42932,TCPQ
P43006,EAA2
P43274,H14
P43277,H13
A2AKI5,A2AKI5
D3YVJ7,D3YVJ7
P45591,COF2
P46096,SYT1
A0A0R4J2C2,A0A0R4J2C2
P46460,NSF
P46471,PRS7
P46638,RB11B
P46660,AINX
P46664,PURA2
P46978,STT3A
P47708,RP3A
P47738,ALDH2
P47740,AL3A2
Q5RKN9,Q5RKN9
P47754,CAZA2
P47757-2,CAPZB
G3XA66,G3XA66
P47809,MP2K4
P47857,PFKAM
P47911,RL6
P47955,RLA1
P47962,RL5
P47963,RL13
P48036,ANXA5
P48318,DCE1
P48320,DCE2
E0CZ78,E0CZ78
P48722-2,HS74L
P48758,CBR1
P48771,CX7A2
P48962,ADT1
A0A0G2JDL3,A0A0G2JDL3
P49813,TMOD1
P50171,DHB8
P50247,SAHH
P50396,GDIA
P50516,VATA
P50518,VATE1
P50580-2,PA2G4
P51150,RAB7A
A0A0R4J083,A0A0R4J083
P51655,GPC4
P51660,DHB4
P51830,ADCY9
P51863,VA0D1
P51880,FABP7
P51881,ADT2
P52480-2,KPYM
P52503,NDUS6
A0A3B2WDD2,A0A3B2WDD2
P53395,ODB2
J3QQ30,J3QQ30
P53986,MOT1
P53994,RAB2A
P54227,STMN1
A0A2U3TZ49,A0A2U3TZ49
A0A0R4IZX5,A0A0R4IZX5
A0A0G2JDI9,A0A0G2JDI9
P55288,CAD11
P56135,ATPK
P56371,RAB4A
P56391,CX6B1
G5E850,G5E850
Q3U4W8,Q3U4W8
P56480,ATPB
P56564,EAA1
P56695,WFS1
G3UXT7,G3UXT7
P57746,VATD
E9QN08,E9QN08
P57780,ACTN4
A0A494B978,A0A494B978
P58252,EF2
P58281,OPA1
Q9JKB1,UCHL3
P58389,PTPA
P58404-2,STRN4
P58871,TB182
P59017,B2L13
P59326,YTHD1
A0A0U1RPY2,A0A0U1RPY2
Q5DTZ3,Q5DTZ3
A0A1Y7VLY2,A0A1Y7VLY2
P59999,ARPC4
P60122,RUVB1
P60202,MYPR
P60335,PCBP1
P60469,LIPA3
P60487,PLPP
P60766,CDC42
P60766-1,CDC42
P60840-2,ENSA
P60853,LZTS1
P60879,SNP25
P60904,DNJC5
P61021,RAB5B
P61022,CHP1
P61027,RAB10
P61028,RAB8B
P61082,UBC12
P61089,UBE2N
P61161,ARP2
P61164,ACTZ
P61205,ARF3
P61226,RAP2B
P61264,STX1B
P61294,RAB6B
P61804,DAD1
P61922-2,GABT
P61924,COPZ1
H7BWX9,H7BWX9
P61961,UFM1
P61979,HNRPK
P61982,1433G
P62071,RRAS2
P62073,TIM10
P62075,TIM13
P62077,TIM8B
P62082,RS7
P62137,PP1A
P62141,PP1B
Q8K1K2,Q8K1K2
P62242,RS8
D3YVB4,D3YVB4
P62259,1433E
P62264,RS14
F6YVP7,F6YVP7
P62301,RS13
P62320,SMD3
Q3UPV6,Q3UPV6
P62627,DLRB1
P62631,EF1A2
P62702,RS4X
P62715,PP2AB
P62743,AP2S1
P62746,RHOB
P62754,RS6
P62761,VISL1
P62806,H4
P62812,GBRA1
P62814,VATB2
P62823,RAB3C
P62827,RAN
P62835,RAP1A
A0A1L1SQA8,A0A1L1SQA8
P62874,GBB1
A0A2R8W6R3,A0A2R8W6R3
P62880,GBB2
P62881-2,GNB5
P62897,CYC
P62900,RL31
P62908,RS3
P62918,RL8
P63001,RAC1
P63005,LIS1
P63011,RAB3A
P63017,HSP7C
P63024,VAMP3
P63030,MPC1
Q99KH2,Q99KH2
P63037,DNJA1
P63038,CH60
P63040,CPLX1
P63044,VAMP2
P63054,PCP4
P63085,MK01
Z4YKV1,Z4YKV1
P63101,1433Z
P63137-2,GBRB2
P63141,KCNA2
P63158,HMGB1
P63213,GBG2
P63216,GBG3
A0A0A0MQM0,A0A0A0MQM0
P63248,IPKA
P63276,RS17
P63318,KPCG
P63321,RALA
P63328,PP2BA
P67778,PHB
P67984,RL22
P68040,RACK1
P68254-2,1433T
P68368,TBA4A
P68404-2,KPCB
P68510,1433F
P70168,IMB1
Q52KF7,Q52KF7
P70206,PLXA1
P70207,PLXA2
P70232,NCHL1
P70280,VAMP7
B7ZCM0,B7ZCM0
P70296,PEBP1
A0A1B0GR78,A0A1B0GR78
P70333,HNRH2
P70336,ROCK2
P70372,ELAV1
P70398,USP9X
P70404,IDHG1
H3BKV8,H3BKV8
P70441,NHRF1
P70663,SPRL1
P70670,NACAM
P70699,LYAG
P70704-3,AT8A1
P80313,TCPH
P80314,TCPB
P80315,TCPD
P80316,TCPE
P80317,TCPZ
Q3U0I3,Q3U0I3
P83093,STIM2
