uniprot,gene
G5E829,AT2B1
O08553,DPYL2
O88737-2,BSN
O88935,SYN1
A0A1L1SUX8,A0A1L1SUX8
P05202,AATM
P68373,TBA1C
P08249,MDHM
P10126,EF1A1
F8WIS9,F8WIS9
P12960,CNTN1
P14094,AT1B1
P16330-2,CN37
A0A1D5RLD8,A0A1D5RLD8
P17182,ENOA
G3UVV4,G3UVV4
Q504P4,Q504P4
P18760,COF1
P18872,GNAO
P19783,COX41
G3UZJ2,G3UZJ2
F6YNQ1,F6YNQ1
Q5SVI3,Q5SVI3
P31648,SC6A1
P35802,GPM6A
P38647,GRP75
A2APL5,A2APL5
P46460,NSF
P46660,AINX
P48962,ADT1
P50516-2,VATA
P50518,VATE1
P52480-2,KPYM
P56480,ATPB
P60202,MYPR
P60335,PCBP1
P60879-2,SNP25
P61264,STX1B
P62814,VATB2
P63011,RAB3A
P63038,CH60
B0QZN5,B0QZN5
D3YXF4,D3YXF4
P67778,PHB
P68372,TBB4B
P97300,NPTN
P99029-2,PRDX5
D3YUH4,D3YUH4
Q03265,ATPA
Q3UNH4,GRIN1
Q60932-2,VDAC1
Q62261,SPTB2
Q6PIC6,AT1A3
Q9CWF2,TBB2B
E9QAY6,E9QAY6
Q8QZT1,THIL
Q8R366,IGSF8
Q8VDN2,AT1A1
Q8VEM8,MPCP
Q91V14-2,S12A5
Q3U4F0,Q3U4F0
Q91VD9,NDUS1
Q8C2Q8,Q8C2Q8
Q91XV3,BASP1
Q99KI0,ACON
Q9CQ75,NDUA2
Q9CR68,UCRI
Q9CZ13,QCR1
Q9D2G2-2,ODO2
Q9D3D9,ATPD
Q9DB77,QCR2
Q9DCT2,NDUS3
Q9WTT4,VATG2
A0A0A6YWU2,A0A0A6YWU2
J3KMS4,J3KMS4
A0A338P769,A0A338P769
B2RXT3,B2RXT3
Q6DFY2,Q6DFY2
