Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]	MS/MS / Da	Identified MS/MS / Da	Identification rate [%]
SHM2	75	0	0	0	0	0	0	NaN	0	0	
SHM2	76	0	0	0	0	0	0	NaN	0	0	
SHM2	77	0	0	0	0	0	0	NaN	0	0	
SHM2	78	0	0	0	0	0	0	NaN	0	0	
SHM2	79	0	0	0	0	0	0	NaN	0	0	
SHM2	80	0	0	0	0	0	0	NaN	0	0	
SHM2	81	0	0	0	0	0	0	NaN	0	0	
SHM2	82	0	0	0	0	0	0	NaN	0	0	
SHM2	83	0	0	0	0	0	0	NaN	0	0	
SHM2	84	0	0	0	0	0	0	NaN	0	0	
SHM2	85	0	0	0	0	0	0	NaN	0	0	
SHM2	86	0	0	0	0	0	0	NaN	0	0	
SHM2	87	0	0	0	0	0	0	NaN	0	0	
SHM2	88	0	0	0	0	0	0	NaN	0	0	
SHM2	89	0	0	0	0	0	0	NaN	0	0	
SHM2	90	0	0	0	0	0	0	NaN	0	0	
SHM2	91	0	0	0	0	0	0	NaN	0	0	
SHM2	92	0	0	0	0	0	0	NaN	0	0	
SHM2	93	0	0	0	0	0	0	NaN	0	0	
SHM2	94	0	0	0	0	0	0	NaN	0	0	
SHM2	95	0	0	0	0	0	0	NaN	0	0	
SHM2	96	0	0	0	0	0	0	NaN	0	0	
SHM2	97	0	0	0	0	0	0	NaN	0	0	
SHM2	98	0	0	0	0	0	0	NaN	0	0	
SHM2	99	0	0	0	0	0	0	NaN	0	0	
SHM2	100	0	0	0	0	0	0	NaN	0	0	
SHM2	101	0	0	0	0	0	0	NaN	0	0	
SHM2	102	0	0	0	0	0	0	NaN	0	0	
SHM2	103	0	0	0	0	0	0	NaN	0	0	
SHM2	104	0	0	0	0	0	0	NaN	0	0	
SHM2	105	0	0	0	0	0	0	NaN	0	0	
SHM2	106	0	0	0	0	0	0	NaN	0	0	
SHM2	107	0	0	0	0	0	0	NaN	0	0	
SHM2	108	0	0	0	0	0	0	NaN	0	0	
SHM2	109	0	0	0	0	0	0	NaN	0	0	
SHM2	110	0	0	0	0	0	0	NaN	0	0	
SHM2	111	0	0	0	0	0	0	NaN	0	0	
SHM2	112	0	0	0	0	0	0	NaN	0	0	
SHM2	113	0	0	0	0	0	0	NaN	0	0	
SHM2	114	0	0	0	0	0	0	NaN	0	0	
SHM2	115	0	0	0	0	0	0	NaN	0	0	
SHM2	116	0	0	0	0	0	0	NaN	0	0	
SHM2	117	0	0	0	0	0	0	NaN	0	0	
SHM2	118	0	0	0	0	0	0	NaN	0	0	
SHM2	119	0	0	0	0	0	0	NaN	0	0	
SHM2	120	0	0	0	0	0	0	NaN	0	0	
SHM2	121	0	0	0	0	0	0	NaN	0	0	
SHM2	122	0	0	0	0	0	0	NaN	0	0	
SHM2	123	0	0	0	0	0	0	NaN	0	0	
SHM2	124	0	0	0	0	0	0	NaN	0	0	
SHM2	125	0	0	0	0	0	0	NaN	0	0	
SHM2	126	0	0	0	0	0	0	NaN	0	0	
SHM2	127	0	0	0	0	0	0	NaN	0	0	
SHM2	128	0	0	0	0	0	0	NaN	0	0	
SHM2	129	0	0	0	0	0	0	NaN	0	0	
SHM2	130	0	0	0	0	0	0	NaN	0	0	
SHM2	131	0	0	0	0	0	0	NaN	0	0	
SHM2	132	0	0	0	0	0	0	NaN	0	0	
SHM2	133	0	0	0	0	0	0	NaN	0	0	
SHM2	134	0	0	0	0	0	0	NaN	0	0	
SHM2	135	0	0	0	0	0	0	NaN	0	0	
SHM2	136	0	0	0	0	0	0	NaN	0	0	
SHM2	137	0	0	0	0	0	0	NaN	0	0	
SHM2	138	0	0	0	0	0	0	NaN	0	0	
SHM2	139	0	0	0	0	0	0	NaN	0	0	
SHM2	140	0	0	0	0	0	0	NaN	0	0	
SHM2	141	0	0	0	0	0	0	NaN	0	0	
SHM2	142	0	0	0	0	0	0	NaN	0	0	
SHM2	143	0	0	0	0	0	0	NaN	0	0	
SHM2	144	0	0	0	0	0	0	NaN	0	0	
SHM2	145	0	0	0	0	0	0	NaN	0	0	
SHM2	146	0	0	0	0	0	0	NaN	0	0	
SHM2	147	0	0	0	0	0	0	NaN	0	0	
SHM2	148	0	0	0	0	0	0	NaN	0	0	
SHM2	149	0	0	0	0	0	0	NaN	0	0	
SHM2	150	0	0	0	0	0	0	NaN	0	0	
SHM2	151	0	0	0	0	0	0	NaN	0	0	
SHM2	152	0	0	0	0	0	0	NaN	0	0	
SHM2	153	0	0	0	0	0	0	NaN	0	0	
SHM2	154	0	0	0	0	0	0	NaN	0	0	
SHM2	155	0	0	0	0	0	0	NaN	0	0	
SHM2	156	0	0	0	0	0	0	NaN	0	0	
SHM2	157	0	0	0	0	0	0	NaN	0	0	
SHM2	158	0	0	0	0	0	0	NaN	0	0	
SHM2	159	0	0	0	0	0	0	NaN	0	0	
SHM2	160	0	0	0	0	0	0	NaN	0	0	
SHM2	161	0	0	0	0	0	0	NaN	0	0	
SHM2	162	0	0	0	0	0	0	NaN	0	0	
