Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]	MS/MS / Da	Identified MS/MS / Da	Identification rate [%]
test	75	0	0	0	0	0	0	NaN	0	0	
test	76	0	0	0	0	0	0	NaN	0	0	
test	77	0	0	0	0	0	0	NaN	0	0	
test	78	0	0	0	0	0	0	NaN	0	0	
test	79	0	0	0	0	0	0	NaN	0	0	
test	80	0	0	0	0	0	0	NaN	0	0	
test	81	0	0	0	0	0	0	NaN	0	0	
test	82	0	0	0	0	0	0	NaN	0	0	
test	83	0	0	0	0	0	0	NaN	0	0	
test	84	0	0	0	0	0	0	NaN	0	0	
test	85	0	0	0	0	0	0	NaN	0	0	
test	86	0	0	0	0	0	0	NaN	0	0	
test	87	0	0	0	0	0	0	NaN	0	0	
test	88	0	0	0	0	0	0	NaN	0	0	
test	89	0	0	0	0	0	0	NaN	0	0	
test	90	0	0	0	0	0	0	NaN	0	0	
test	91	0	0	0	0	0	0	NaN	0	0	
test	92	0	0	0	0	0	0	NaN	0	0	
test	93	0	0	0	0	0	0	NaN	0	0	
test	94	0	0	0	0	0	0	NaN	0	0	
test	95	0	0	0	0	0	0	NaN	0	0	
test	96	0	0	0	0	0	0	NaN	0	0	
test	97	0	0	0	0	0	0	NaN	0	0	
test	98	0	0	0	0	0	0	NaN	0	0	
test	99	0	0	0	0	0	0	NaN	0	0	
test	100	0	0	0	0	0	0	NaN	0	0	
test	101	0	0	0	0	0	0	NaN	0	0	
test	102	0	0	0	0	0	0	NaN	0	0	
test	103	0	0	0	0	0	0	NaN	0	0	
test	104	0	0	0	0	0	0	NaN	0	0	
test	105	0	0	0	0	0	0	NaN	0	0	
test	106	0	0	0	0	0	0	NaN	0	0	
test	107	0	0	0	0	0	0	NaN	0	0	
test	108	0	0	0	0	0	0	NaN	0	0	
test	109	0	0	0	0	0	0	NaN	0	0	
test	110	0	0	0	0	0	0	NaN	0	0	
test	111	0	0	0	0	0	0	NaN	0	0	
test	112	0	0	0	0	0	0	NaN	0	0	
test	113	0	0	0	0	0	0	NaN	0	0	
test	114	0	0	0	0	0	0	NaN	0	0	
test	115	0	0	0	0	0	0	NaN	0	0	
test	116	0	0	0	0	0	0	NaN	0	0	
test	117	0	0	0	0	0	0	NaN	0	0	
test	118	0	0	0	0	0	0	NaN	0	0	
test	119	0	0	0	0	0	0	NaN	0	0	
test	120	0	0	0	0	0	0	NaN	0	0	
test	121	0	0	0	0	0	0	NaN	0	0	
test	122	0	0	0	0	0	0	NaN	0	0	
test	123	0	0	0	0	0	0	NaN	0	0	
test	124	0	0	0	0	0	0	NaN	0	0	
test	125	0	0	0	0	0	0	NaN	0	0	
test	126	0	0	0	0	0	0	NaN	0	0	
test	127	0	0	0	0	0	0	NaN	0	0	
test	128	0	0	0	0	0	0	NaN	0	0	
test	129	0	0	0	0	0	0	NaN	0	0	
test	130	0	0	0	0	0	0	NaN	0	0	
test	131	0	0	0	0	0	0	NaN	0	0	
test	132	0	0	0	0	0	0	NaN	0	0	
test	133	0	0	0	0	0	0	NaN	0	0	
test	134	0	0	0	0	0	0	NaN	0	0	
test	135	0	0	0	0	0	0	NaN	0	0	
test	136	0	0	0	0	0	0	NaN	0	0	
test	137	0	0	0	0	0	0	NaN	0	0	
test	138	0	0	0	0	0	0	NaN	0	0	
test	139	0	0	0	0	0	0	NaN	0	0	
test	140	0	0	0	0	0	0	NaN	0	0	
test	141	0	0	0	0	0	0	NaN	0	0	
test	142	0	0	0	0	0	0	NaN	0	0	
test	143	0	0	0	0	0	0	NaN	0	0	
test	144	0	0	0	0	0	0	NaN	0	0	
test	145	0	0	0	0	0	0	NaN	0	0	
test	146	0	0	0	0	0	0	NaN	0	0	
test	147	0	0	0	0	0	0	NaN	0	0	
test	148	0	0	0	0	0	0	NaN	0	0	
test	149	0	0	0	0	0	0	NaN	0	0	
test	150	0	0	0	0	0	0	NaN	0	0	
test	151	0	0	0	0	0	0	NaN	0	0	
test	152	0	0	0	0	0	0	NaN	0	0	
test	153	0	0	0	0	0	0	NaN	0	0	
test	154	0	0	0	0	0	0	NaN	0	0	
test	155	0	0	0	0	0	0	NaN	0	0	
test	156	0	0	0	0	0	0	NaN	0	0	
test	157	0	0	0	0	0	0	NaN	0	0	
test	158	0	0	0	0	0	0	NaN	0	0	
test	159	0	0	0	0	0	0	NaN	0	0	
test	160	0	0	0	0	0	0	NaN	0	0	
test	161	0	0	0	0	0	0	NaN	0	0	
test	162	0	0	0	0	0	0	NaN	0	0	
test	163	0	0	0	0	0	0	NaN	0	0	
test	164	0	0	0	0	0	0	NaN	0	0	
test	165	0	0	0	0	0	0	NaN	0	0	
test	166	0	0	0	0	0	0	NaN	0	0	
