Annotation/Divergence,pvalue,FoldChange,log(pvalue),log2FC,sig,size
Fam175a,0.6912767703980381,0.955594337793291,0.16034803686478677,0.06552978950431546,normal,0.0955594337793291
1-Mar,0.004595669513467789,1.1364918685695322,2.337651210105143,-0.18458736192401545,normal,0.11364918685695322
Mob3b,0.15380129298258083,1.2198225993058234,0.8130400134758122,-0.286671349664099,normal,0.12198225993058234
Vapa,0.6339270973230824,1.021615542237355,0.19796068383873852,-0.030852378604911773,normal,0.10216155422373549
Crat,0.005814769475742696,0.8743925693547394,2.235467498028806,0.19364695394229567,normal,0.08743925693547394
Akr1c14,0.6554359366255393,1.0625706747078778,0.18346975054853906,-0.08755880234172587,normal,0.10625706747078778
Zfp473,0.44068138628043774,1.1756906077348068,0.35587529304900034,-0.23350845353062213,normal,0.11756906077348069
Skap2,0.8323419402230038,0.9828311018475995,0.07969822149282726,0.024984582149311468,normal,0.09828311018475995
Tsks,0.21094281363692927,0.7751989389920424,0.675835265498923,0.367361498737008,normal,0.07751989389920425
Dand5,0.006812557462208787,0.7713359425200069,2.1666898215351256,0.37456875608434265,up,0.0771335942520007
Med16,0.5178967314347178,0.9632001639533245,0.2857568299057307,0.05409245721808195,normal,0.09632001639533246
Desi1,0.06601828313091539,0.9357245398412859,1.180335774105448,0.09584420556327233,normal,0.09357245398412858
Bcr,0.15062003196331625,0.7915688339712796,0.8221172645723437,0.33721328386654237,normal,0.07915688339712797
Dusp3,0.07423755381159991,0.9395644610895127,1.1293763469134748,0.08993595026818198,normal,0.09395644610895128
Itgax,0.17730428367014733,0.7630597014925372,0.7512807717209447,0.3901321575160238,normal,0.07630597014925372
Npcd,0.8754650581038927,1.0171549776474547,0.05776118296203048,-0.024539510512417855,normal,0.10171549776474546
Rhog,0.0076893086202108225,0.8401273885350319,2.114112707783211,0.2513199945274446,up,0.08401273885350319
Sec11c,0.2436311511624047,0.9087025999708457,0.6132671827345967,0.1381198882023063,normal,0.09087025999708456
Ppfia2,0.03640678474151587,1.2621212747488941,1.438817674009637,-0.33585054270766107,down,0.1262121274748894
Abca4,0.18828740113876674,1.9069256137779407,0.7251787389263448,-0.9312485674436548,normal,0.19069256137779406
Fkbp14,0.2565272745705332,1.1098265895953756,0.5908664529079064,-0.1503342730844314,normal,0.11098265895953756
Kbtbd3,0.7343887714546291,1.022937625754527,0.13407397196554782,-0.03271817855531025,normal,0.10229376257545271
Klhdc9,0.8286457279762809,0.9762462361993979,0.08163110427475544,0.03468301376020346,normal,0.09762462361993979
Madd,0.5814399283190408,1.029216519904001,0.23549514791266057,-0.0415465189977053,normal,0.10292165199040011
Zfp51,0.9807327382318607,0.9986749701868292,0.008449327100159458,0.0019128815330785214,normal,0.09986749701868292
Grb14,0.8935693223924754,1.010737538374835,0.048871749633231605,-0.01540841638659886,normal,0.10107375383748349
Arfgap1,0.5070274920300202,0.9696105054639433,0.29496849172537626,0.044522764786660944,normal,0.09696105054639434
Tagln2,0.41886303710973605,1.0577347775791355,0.3779279625978421,-0.08097792325595632,normal,0.10577347775791354
Ipp,0.011692987928109258,1.2097913237402431,1.9320744986857272,-0.2747582192617526,down,0.12097913237402431
Rubcnl,0.6182320940910304,0.9073390733907338,0.2088484532927026,0.14028630699517244,normal,0.09073390733907338
Itpr3,0.35767836064851855,1.110800944814258,0.44650733364252365,-0.15160030938342683,normal,0.11108009448142579
Rab24,0.018328939441328594,0.808291254054139,1.7368626636850315,0.307052857521508,up,0.0808291254054139
D630041G03Rik,0.5583605922257263,0.9277403551745255,0.2530852407839825,0.10820699720138159,normal,0.09277403551745254
Naa30,0.0027142230267386603,1.1181883037298552,2.5663544693872757,-0.16116315954217494,normal,0.11181883037298553
Nenf,0.12685217784903632,0.8252917115177612,0.8967020722364982,0.27702394356123894,normal,0.08252917115177612
Pcdhb13,0.6070990112678156,1.0513728963684676,0.21674047442614747,-0.07227444886890581,normal,0.10513728963684676
Tubgcp3,0.3503665308075634,0.9725965568379649,0.45547738703542634,0.04008661069465651,normal,0.09725965568379649
Mdm2,0.5854611319618086,0.9833060556464813,0.2325019319064318,0.02428756719181989,normal,0.09833060556464814
Brk1,0.2006924856151352,0.8990316535510734,0.6974688881850433,0.1535561831329259,normal,0.08990316535510734
Zc3hav1,0.19635063554545573,1.1610716591349255,0.706967688671955,-0.215457015345811,normal,0.11610716591349254
Gpr35,0.22976518366717313,1.2874493927125508,0.6387157793325781,-0.3645157236996779,normal,0.12874493927125508
Mbip,0.08835105730771482,1.0465921765845447,1.05378824887189,-0.06569937976862406,normal,0.10465921765845447
Cstf2,0.5466582489739766,1.0237539888098681,0.26228409408470604,-0.03386907298960994,normal,0.10237539888098682
Spock1,0.19742125986374928,1.0794793652700005,0.7046060809249867,-0.11033566586419932,normal,0.10794793652700005
Slc38a10,0.7557894636746996,0.9856594964148742,0.12159916679824886,0.020838752214892727,normal,0.09856594964148742
Cdk3-ps,0.003295866442525378,0.640293264090423,2.4820303954122562,0.6431952620510687,up,0.0640293264090423
Gpr85,0.7377988089636878,0.983882445029531,0.1320620501947611,0.02344214324992779,normal,0.09838824450295311
Zfp804b,0.02214221094851318,2.031578947368421,1.6547790160318998,-1.0226014289371326,down,0.20315789473684212
Pggt1b,0.00024395875758485044,1.3508013784803892,3.612683587051579,-0.43381555671580535,down,0.1350801378480389
Clcn2,0.5907399160618843,1.0314556476448786,0.22860368304482317,-0.04468178700386724,normal,0.10314556476448786
Cd84,0.6936306922329492,1.1030805687203789,0.1588716981551201,-0.1415381688516082,normal,0.11030805687203789
Sh3gl3,0.2384529035834071,0.8933048536441213,0.6225973848989171,0.1627754942485706,normal,0.08933048536441213
Ovgp1,0.9301223308615438,1.006845238095238,0.03145992873178948,-0.009841944127865416,normal,0.1006845238095238
Adcy6,0.08156167885565616,1.0985606780156354,1.088513843337212,-0.13561455793106691,normal,0.10985606780156354
Crhr1,0.011735975139996347,0.8022604061380134,1.9304808191182368,0.31785749702865584,up,0.08022604061380134
Pmepa1,0.17882492308664216,0.7063920317184025,0.7475719530753904,0.5014590257758174,normal,0.07063920317184025
Kcnn4,0.3921056033509511,1.3458333333333332,0.4065969514080048,-0.4284997590854063,normal,0.13458333333333333
Lrp2bp,0.9024253068147469,0.952212389380531,0.044588734220781454,0.07064469474592588,normal,0.0952212389380531
