genename,pvalue,FoldChange,log(pvalue),log2FC,sig,size
Pafah1b2,0.3165307247277027,2.5514952393580397,0.4995841278833817,1.3513429499094207,normal,0.255149523935804
Col1a2,0.3671578693928609,3.407940190698107,0.4351471590065693,1.7689000165084696,normal,0.3407940190698107
Pimreg,0.22176189611602107,2.809577282305806,0.6541130737331297,1.4903530846822146,normal,0.2809577282305806
Ece2,0.16937877752625277,2.256784119044348,0.7711410059334741,1.1742684188486987,normal,0.22567841190443477
H1-7,0.34691903007592884,1.7028910108507551,0.45977187649035567,0.7679861019942424,normal,0.1702891010850755
Ndufs8,0.07839550409020522,1.9881284464920381,1.1057088429890611,0.9914109677306042,normal,0.19881284464920382
Clcc1,0.13233165028058289,1.9506962318449785,0.8783362714716895,0.9639891347222116,normal,0.19506962318449786
Ttr,0.42333468598315704,2.216281755730055,0.37331614609264446,1.1481413027566991,normal,0.2216281755730055
Myh11,0.23011844688878616,1.9736005610794372,0.6380485657690228,0.9808300308978193,normal,0.19736005610794372
Ccdc172,0.08483799803901836,1.7638964799464507,1.0714095882797747,0.8187658940868807,normal,0.17638964799464507
Stx16,0.010517044982810182,1.694980482500418,1.9781062685412443,0.761268660994673,up,0.1694980482500418
Cdipt,0.16929216878688264,1.5037281581932411,0.7713631312667657,0.5885437822591109,normal,0.1503728158193241
C2cd4c,0.37115282000998895,1.4545777505639326,0.43044723533997903,0.5406004139047544,normal,0.14545777505639326
Dlg5,0.4977892203258074,1.3929157933787202,0.3029545123150269,0.47810804462478207,normal,0.139291579337872
Afg3l2,0.08160221163500757,1.526414980841947,1.088298070561536,0.6101472357068002,normal,0.1526414980841947
Crbn,0.30096738389737143,1.647046128846786,0.5214805667347331,0.7198809612127558,normal,0.16470461288467858
Kifap3,0.2454202639635171,1.5800495726541308,0.6100895811191852,0.6599698223899454,normal,0.15800495726541308
Gzmb,0.13194448955444638,1.4142619247368189,0.8796087426630993,0.5000493355113982,normal,0.14142619247368188
Ewsr1,0.06682086446687821,1.5197091615365272,1.1750879101590297,0.6037952504079438,normal,0.1519709161536527
Rps26,0.3466868148437139,1.3585266799256321,0.46006267507134085,0.4420428987350358,normal,0.1358526679925632
Vcam1,0.07387770027553672,1.448664015941515,1.131486632089257,0.5347230339971677,normal,0.14486640159415148
Rell2,0.1888996929331678,1.4910126039999643,0.7237687480471404,0.5762924532292609,normal,0.14910126039999644
Nfs1,0.06471102789042411,1.429209333203177,1.1890217016521591,0.5152172403358303,normal,0.1429209333203177
Dnhd1,0.08690943149962192,1.4336028279396829,1.0609330909163488,0.5196453883860372,normal,0.14336028279396829
Dhx32,0.4284464474304295,1.5837848333105422,0.3681034538782554,0.6633763499370325,normal,0.15837848333105423
Crtc1,0.24628657061350503,1.4719857248211292,0.6085592684997427,0.5577636803421899,normal,0.14719857248211293
Psmb2,0.34869083737746176,1.5028031187932387,0.45755946452161395,0.587656015145336,normal,0.15028031187932386
Snrpd2,0.19573380796271933,1.3149979616128098,0.708334154701941,0.39506056318801874,normal,0.131499796161281
Taok1,0.22091537758417962,1.3983342412126971,0.6557740524965497,0.48370924662520387,normal,0.1398334241212697
Rimbp2,0.19437931657239516,1.392439607407142,0.711349949164745,0.477614756661432,normal,0.13924396074071418
Tuba8,0.0269120792769512,1.3362555789352772,1.5700527465461334,0.418195971283806,up,0.13362555789352773
Kcnk1,0.3681468884067385,1.4331459483429063,0.43397886584732087,0.5191855378825075,normal,0.14331459483429063
Hacd3,0.5121734697617358,1.5315127895285991,0.2905829214444942,0.6149574148065684,normal,0.1531512789528599
Bcl11a,0.5377300872478595,1.2511041506134648,0.2694356630576448,0.32320189447506353,normal,0.12511041506134649
M6pr,0.029341000173350566,1.3079917456708603,1.5325250860495312,0.38735343646497794,up,0.13079917456708604
Pnmal2,0.042694694612486775,1.2997983845524346,1.3696260885270393,0.378287860050644,up,0.12997983845524347
Erh,0.30497203382396765,1.4002563144059184,0.5157399839738447,0.4856909340817821,normal,0.14002563144059182
Acaa2,0.15628470536004346,1.3480428242157456,0.8060835216785093,0.4308663283464297,normal,0.13480428242157455
Pcmt1,0.3237171091417663,1.2358718212428463,0.48983434659835573,0.30552912152171974,normal,0.12358718212428463
H2bu1,0.679236510930737,1.2097469567689627,0.16797897754977173,0.2747053099856578,normal,0.12097469567689627
Usp34,0.1871312814523442,1.3368856175062993,0.7278536084027701,0.4188760352774501,normal,0.13368856175062993
Fabp7,0.3986739953255287,1.2116770248179272,0.39938209153838405,0.2770051965100263,normal,0.12116770248179272
Pdap1,0.12037088263789404,1.3134243341375962,0.919478554930542,0.39333308976822823,normal,0.13134243341375962
Pdk3,0.1367113996548667,1.2526632179336668,0.8641952703569225,0.3249985941287399,normal,0.12526632179336666
recA,0.6160618155178921,1.211047222641446,0.2103757086287508,0.27625512146688386,normal,0.1211047222641446
Atad5,0.06725600854074053,1.2900818501940958,1.1722689104404795,0.36746260140283005,normal,0.12900818501940958
Tsc2,0.11159516006073475,1.289932466047772,0.9523546405641793,0.3672955358435633,normal,0.1289932466047772
Fam126b,0.2866777929031317,1.3391958688197405,0.5426059477691245,0.4213669825510241,normal,0.13391958688197406
Aldh1b1,0.2724886930113986,1.3332046004379932,0.5646515141749998,0.4148982008218456,normal,0.13332046004379933
Wars1,0.20445304603446524,1.313216305816237,0.689406414744737,0.3931045686499209,normal,0.1313216305816237
Sh3kbp1,0.042812934228314385,1.2706943113189753,1.3684250063283583,0.3456170054907229,up,0.12706943113189753
Vmn2r35,0.14889352053492755,1.2834272311857837,0.8271242012213277,0.3600014991205326,normal,0.12834272311857836
Rab6a,0.17186804929562183,1.295627051459771,0.7648048522502223,0.3736504956596259,normal,0.1295627051459771
Gphn,0.013985618882422423,1.260213229759103,1.854318310753016,0.3336678603039507,up,0.12602132297591032
Lap3,0.1840487194777409,1.287805872278433,0.7350671998184322,0.3649151336627621,normal,0.1287805872278433
Acsl3,0.03015799880742619,1.2611736453823488,1.520597480299844,0.33476692759705146,up,0.12611736453823488
Ddt,0.6172008573042336,1.565143389504726,0.20957347936482038,0.6462948346985278,normal,0.1565143389504726
Galnt16,0.40987332079946925,1.3520851418813928,0.3873503495699547,0.43518600213970227,normal,0.13520851418813928
Snrpg,0.44853066931953234,1.3757885130568235,0.34820785571721374,0.46025871523342854,normal,0.13757885130568234
Gm2a,0.04805550662939409,1.2616737504869038,1.318256839801162,0.33533889969880964,up,0.12616737504869038
Ak4,0.03793926835472912,1.2300963149213193,1.420911048580927,0.298771281108652,up,0.12300963149213193
Hspa4l,0.25197075128762747,1.2873433001828054,0.5986498691058074,0.36439683322197225,normal,0.12873433001828055
Vti1a,0.3031725457628882,1.300436530796406,0.5183101294368467,0.3789959887159341,normal,0.1300436530796406
Enpp6,0.3474123454773843,1.3286679200518676,0.45915475273566686,0.4099805704079679,normal,0.13286679200518675
Rps18,0.18235901564372703,1.2671571537149364,0.7390727607432239,0.3415954596210472,normal,0.12671571537149365
Bicd2,0.019729212930808565,1.2384869919612376,1.704890239969544,0.30857871579334467,up,0.12384869919612376
Acot9,0.04027433187056485,1.2325387308697386,1.3949716555601088,0.3016329820642537,up,0.12325387308697386
Ppt1,0.39119683453583665,1.2571879955266783,0.4076046680694587,0.3302004014961874,normal,0.12571879955266782
Nucb1,0.3392046335597624,1.301380298247418,0.46953822388085437,0.3800426178758695,normal,0.13013802982474182
Kars1,0.15261600838253178,1.2639901268332847,0.8163999094508779,0.33798519450845854,normal,0.12639901268332848
Aqp4,0.11784325027174328,1.2569886245489916,0.9286952875875567,0.32997159376715846,normal,0.12569886245489917
Rab7a,0.2677986486578955,1.2794108859964672,0.572191618817288,0.35547966374447787,normal,0.12794108859964673
Olfml1,0.08166753444459862,1.2478065560181486,1.0879505556306595,0.319394294532902,normal,0.12478065560181487
Hint2,0.09149037950888345,1.237660928820656,1.0386245709157238,0.30761612609457256,normal,0.1237660928820656
Ppm1b,0.2430538544070698,1.1856536456282,0.6142974873874295,0.2456826298573184,normal,0.11856536456282
Rpl10,0.10557571631421422,1.2144100298557325,0.9764359632750159,0.280255611184999,normal,0.12144100298557325
Eif1,0.26116915731307455,1.267089733539842,0.5830781122347717,0.341518697761122,normal,0.12670897335398418
Pcca,0.09655252085249745,1.2333719252530282,1.015236382909574,0.30260791231781187,normal,0.12333719252530281
Calb2,0.4754380392373756,1.1544136199795862,0.3229060738278884,0.2071602262178156,normal,0.11544136199795862
Me1,0.4305468270320508,1.1664680861262908,0.36597960700787663,0.22214683658300313,normal,0.11664680861262908
Cldn11,0.26431959893552487,1.2546224553895073,0.5778706333345173,0.327253289528515,normal,0.12546224553895075
Exoc1,0.12301134214704372,1.239745278568069,0.9100548429933163,0.31004373101832916,normal,0.12397452785680689
Lman2,0.44302067852381444,1.3099637880349935,0.353576002085748,0.38952693119446913,normal,0.13099637880349935
Ppif,0.08539571649556216,1.2083389747701483,1.068563913257093,0.2730252300096578,normal,0.12083389747701483
Myo9a,0.2879310754217842,1.1681530315230073,0.540711460665874,0.22422928394176167,normal,0.11681530315230074
Msn,0.11038337076401093,1.2295786908027275,0.9570963480687442,0.2981640677506082,normal,0.12295786908027276
Fam205c,0.1337125329079406,1.2275773431619368,0.8738278843037055,0.29581392399494527,normal,0.12275773431619368
Ndor1,0.006052650021436524,1.2024535885640142,2.2180544372972837,0.2659812109676996,up,0.12024535885640142
Rpf2,0.09189064990534382,1.1782682427114428,1.0367286768739559,0.23666801826443756,normal,0.11782682427114428
Azi2,0.012262918648235277,1.1992468566518357,1.9114061528217932,0.2621286580937046,up,0.11992468566518358
Dcdc2c,0.5224986170599986,1.3186092996697818,0.2819148546982601,0.3990171613094703,normal,0.13186092996697818
Gmcl1,0.0030025024064605286,1.1946245552823833,2.52251663584442,0.2565572815214028,up,0.11946245552823834
Apba2,0.0861351146042964,1.2147855791980582,1.064819764110033,0.28070168738905554,normal,0.12147855791980582
Dgkb,0.0984092199419474,1.1732070288255974,1.006964210691317,0.2304576195943595,normal,0.11732070288255973
Hyou1,0.14130278541778934,1.2206525730238267,0.8498492770781741,0.2876526331672226,normal,0.12206525730238267
Picalm,0.1139119778478875,1.2077986620694783,0.9434306074420378,0.2723799799585889,normal,0.12077986620694783
Ncln,0.04310283718271826,1.1880461571275536,1.3654941420841686,0.24859088779308947,up,0.11880461571275536
Grcc10,0.057402299378858365,1.1994581114308134,1.2410707106063996,0.2623827754002,normal,0.11994581114308134
Znf598,0.09166491904957856,1.2064820797671727,1.0377968407551403,0.2708064869394622,normal,0.12064820797671727
