Annotation/Divergence,DD6_old_rep1,DD7_old_rep2,DD8_old_rep3,DD9_old_rep4,DD10_old_rep5,DD11_old_rep6,DD18_old121_rep1,DD19_old121_rep2,DD20_old121_rep3,DD21_old121_rep4,DD22_old121_rep5,DD23_old121_rep6
Dand5,5.449,5.419,5.309,6.8229999999999995,5.711,5.527,3.7569999999999997,3.583,5.007,5.5120000000000005,4.525,4.025
Rhog,10.882,13.769,11.345,12.66,11.458,10.536,9.206,10.875,9.652000000000001,9.711,10.55,9.361
Ppfia2,22.932,12.071,28.534000000000002,24.791,28.3,28.53,31.326999999999998,29.378,30.410999999999998,30.173000000000002,31.691,30.226999999999997
Ipp,3.563,2.8369999999999997,3.6180000000000003,2.5860000000000003,2.721,3.508,3.6430000000000002,3.8960000000000004,3.7939999999999996,3.576,4.197,3.678
Rab24,21.845,18.635,19.683,26.348000000000003,20.146,20.682,14.62,17.699,14.442,18.811,17.254,20.101
Cdk3-ps,0.809,1.1440000000000001,0.8809999999999999,1.479,1.138,1.0959999999999999,0.552,0.735,0.7490000000000001,0.758,0.643,0.755
Zfp804b,0.19,0.258,0.207,0.042,0.155,0.193,0.45899999999999996,0.397,0.486,0.19699999999999998,0.439,0.145
Pggt1b,3.148,3.4339999999999997,3.366,2.437,2.773,3.123,4.277,4.467,4.104,3.679,4.25,3.917
Crhr1,3.8939999999999997,3.52,3.028,4.21,3.062,4.052,2.918,3.217,2.764,3.1630000000000003,2.496,2.904
Anxa1,0.555,0.8,0.43200000000000005,0.8640000000000001,0.831,0.775,1.381,0.857,1.4169999999999998,1.683,1.4469999999999998,1.695
Setdb2-phf11c,0.594,0.6890000000000001,0.924,0.7190000000000001,0.889,0.88,0.97,0.7190000000000001,1.055,0.8640000000000001,1.1059999999999999,1.1340000000000001
Eif3g,33.763000000000005,30.61,31.673000000000002,46.273999999999994,32.063,34.338,25.973000000000003,30.395,26.965,32.216,30.121,28.598000000000003
Acvr2a,6.837999999999999,7.566,9.573,8.833,9.49,10.321,10.173,9.965,10.937999999999999,11.673,10.8,12.289000000000001
Nek11,0.617,0.374,0.251,0.37,0.44,0.504,0.5589999999999999,0.5870000000000001,0.5379999999999999,0.652,0.6779999999999999,0.561
Trp53inp1,2.204,2.184,2.333,1.95,2.313,2.176,3.444,2.88,3.0,2.451,2.9130000000000003,2.932
Krtcap2,34.738,30.599,34.168,45.215,33.232,34.396,27.475,32.218,27.607,32.824,29.189,28.526999999999997
1110038F14Rik,10.096,11.318,10.76,14.649000000000001,11.337,10.263,7.747000000000001,8.27,8.74,10.597999999999999,8.834,9.389
Aldh1a2,1.6019999999999999,1.676,1.855,2.121,3.779,1.4709999999999999,10.22,2.785,6.242000000000001,7.232,3.832,8.911
Lzts3,47.62,80.852,52.856,57.31,51.937,51.43,41.285,45.239,39.042,45.445,43.644,46.912
Arid3c,0.22,0.336,0.171,0.196,0.15,0.196,0.09699999999999999,0.12,0.024,0.195,0.16399999999999998,0.168
Smim8,9.068,9.231,6.8020000000000005,10.199,6.388,8.804,5.073,5.716,7.581,6.785,7.151,6.789
Sdc1,0.126,0.192,0.11699999999999999,0.11199999999999999,0.239,0.175,0.386,0.183,0.391,0.223,0.5429999999999999,0.35200000000000004
Shmt1,0.784,0.507,1.307,1.3559999999999999,1.296,1.209,1.6669999999999998,1.4240000000000002,1.472,1.464,1.168,1.64
Mfsd7b,3.083,3.444,3.3760000000000003,2.145,3.377,2.947,3.988,3.9939999999999998,4.216,3.42,4.13,3.84
Gp1bb,56.483999999999995,78.092,61.761,88.06,61.284,63.902,41.653999999999996,57.141000000000005,35.625,51.943999999999996,50.211000000000006,51.861999999999995
Zbtb41,3.2110000000000003,3.284,3.503,2.5839999999999996,3.515,3.18,4.081,4.2989999999999995,4.192,3.698,4.175,4.081
Nup37,2.371,3.455,2.7889999999999997,2.523,2.937,2.316,1.557,2.4290000000000003,2.396,1.8880000000000001,1.8559999999999999,2.398
Tysnd1,10.549000000000001,10.453,9.889,16.146,10.8,10.700999999999999,8.87,8.952,10.07,9.259,8.224,8.594
Zfp84,3.2230000000000003,2.985,3.707,3.4139999999999997,4.039,3.3930000000000002,4.44,3.5610000000000004,4.205,4.131,4.541,3.9139999999999997
Rps24,18.274,20.276,16.577,27.631,19.153,16.521,13.84,14.917,13.269,16.243,12.304,14.329
Man1a,14.710999999999999,9.544,11.439,7.957000000000001,10.79,12.125,12.772,15.854000000000001,13.720999999999998,13.905999999999999,14.05,11.978
Lyrm1,5.754,5.9,4.941,7.191,4.265,5.996,4.083,4.133,5.244,3.8739999999999997,3.262,4.809
Csf2ra,10.097000000000001,11.82,9.765,12.584000000000001,10.958,10.197000000000001,9.217,8.562000000000001,7.1339999999999995,9.163,10.192,8.655
Rreb1,14.92,15.22,22.72,15.53,21.011999999999997,18.027,25.543000000000003,24.625999999999998,24.174,19.352,23.252,22.485
Pkhd1l1,0.03,0.062,0.042,0.036000000000000004,0.040999999999999995,0.031,0.049,0.055,0.04,0.054000000000000006,0.068,0.069
Ltbp1,1.245,1.53,1.433,1.365,1.504,1.169,1.7380000000000002,1.327,2.194,1.7009999999999998,1.4669999999999999,1.795
Tesk1,15.732000000000001,15.128,13.834000000000001,16.457,13.665999999999999,16.011,10.033,11.934000000000001,10.855,13.298,13.204,12.739
Vps13c,4.97,3.432,4.4430000000000005,2.06,4.006,4.018,6.091,5.9239999999999995,4.942,3.74,5.857,5.315
D130020L05Rik,0.675,0.847,0.693,1.14,0.716,0.6509999999999999,0.652,0.613,0.39,0.539,0.603,0.601
Tbcb,33.928000000000004,32.07,35.993,45.998000000000005,34.806999999999995,36.521,27.753,29.076999999999998,27.96,31.8,30.02,31.839000000000002
Pank1,3.3339999999999996,3.303,3.383,3.588,3.97,3.457,4.402,4.044,4.335,4.348,4.26,4.185
Rcor1,4.752,4.727,4.245,2.7880000000000003,5.081,3.699,5.546,4.88,5.92,4.435,5.478,5.274
Pcdh19,9.946,3.139,10.353,8.014,10.452,10.144,11.922,12.584000000000001,11.332,11.465,12.695,12.754000000000001
Nol12,6.83,7.103,6.841,8.607999999999999,6.696000000000001,6.8839999999999995,4.855,5.6770000000000005,5.547999999999999,7.42,6.237,6.114
D830031N03Rik,1.023,0.242,0.509,0.075,0.289,0.322,1.0859999999999999,0.996,0.747,0.341,1.064,0.745
Reep6,4.688,5.999,5.406000000000001,6.478,5.4879999999999995,5.8260000000000005,4.621,4.546,4.213,4.319,4.883,4.98
C1qtnf7,0.483,0.256,0.42200000000000004,0.358,0.24600000000000002,0.38299999999999995,0.662,0.32899999999999996,0.503,0.759,0.45,0.845
Dok6,16.531,9.941,11.647,3.968,7.71,8.03,17.883,14.87,15.595999999999998,11.708,16.647000000000002,16.741
Cenpv,10.741,12.843,12.875,16.250999999999998,11.267000000000001,12.263,9.057,10.837,8.53,10.7,9.888,10.251
Zfp189,5.497999999999999,1.992,5.956,5.044,6.247000000000001,5.015,5.994,6.5920000000000005,7.438,7.184,6.938,6.843999999999999
Ier5,8.628,8.312999999999999,6.928,8.288,7.434,9.198,5.882999999999999,6.643,5.779,8.825,6.8629999999999995,6.311
Lamb2,5.236000000000001,5.825,5.041,5.332000000000001,6.836,5.307,7.439,5.7620000000000005,7.357,6.821000000000001,7.247999999999999,8.634
Ocel1,4.396,5.132999999999999,4.8660000000000005,5.672999999999999,4.505,4.17,2.421,4.227,3.158,3.978,3.5439999999999996,4.18
Dnajb6,6.149,5.455,6.825,10.017999999999999,7.409,7.091,4.086,6.393,4.716,5.692,3.985,5.197
Abca8a,2.5140000000000002,2.925,2.81,1.874,3.2910000000000004,2.6519999999999997,3.548,3.182,3.272,2.7430000000000003,3.387,3.4360000000000004
Cpd,13.644,10.177999999999999,13.857999999999999,10.776,14.175999999999998,13.114,15.75,15.658,15.32,14.005,16.53,14.485
Apip,6.949,8.45,6.835,8.81,6.437,6.59,4.96,5.169,5.763,6.996,4.988,5.54
Glrx3,7.857,6.664,7.053999999999999,9.808,7.255,7.481,5.5760000000000005,7.388999999999999,5.632999999999999,7.228,5.19,6.843999999999999
Ormdl2,1.271,1.268,1.337,1.524,1.831,1.115,1.149,1.12,1.162,0.636,1.03,0.737
Mrpl40,10.588,10.22,9.482000000000001,12.879000000000001,10.683,12.005999999999998,7.478,8.156,9.324,10.638,8.648,10.501
Usp34,10.051,8.579,9.373,7.556,9.136000000000001,9.691,12.545,12.238,12.800999999999998,10.302999999999999,12.74,11.527999999999999
Vps72,10.299000000000001,10.374,10.177,13.079,11.132,10.965,8.476,8.378,7.8020000000000005,9.401,7.671,8.704
Zfp26,2.46,2.48,3.063,1.943,2.7539999999999996,2.53,3.5410000000000004,3.0460000000000003,3.5189999999999997,3.122,3.43,3.221
Agbl3,2.492,2.752,2.1180000000000003,3.049,2.799,2.795,3.264,3.525,2.766,4.456,3.237,3.392
Blnk,2.838,3.033,2.408,2.8960000000000004,2.282,2.3169999999999997,1.942,1.808,2.0869999999999997,2.208,1.9769999999999999,1.994
Dusp10,1.755,1.969,1.9809999999999999,2.224,2.022,1.761,1.284,1.234,1.791,1.8630000000000002,1.855,1.369
Col19a1,5.127000000000001,3.989,4.678999999999999,3.594,4.03,4.372,5.422000000000001,4.828,6.028,5.033,4.923,5.609
Zbed6,4.791,4.83,3.9160000000000004,0.794,2.583,2.041,7.76,7.145,7.019,3.713,8.038,5.971
Ikzf2,0.57,0.359,0.456,0.585,0.565,0.599,0.685,0.54,0.5920000000000001,0.644,0.618,0.772
Mpzl1,8.332,10.448,7.981,8.919,9.942,8.713,7.037000000000001,8.224,6.815,7.917999999999999,7.285,7.684
Sat1,14.264000000000001,17.084,11.81,17.421,12.94,12.282,10.337,9.115,10.264000000000001,11.573,9.689,9.916
2810468N07Rik,14.956,20.886999999999997,13.354000000000001,13.907,11.144,11.949000000000002,12.064,12.239,9.818,10.975999999999999,11.817,8.721
Lrp1b,2.1069999999999998,1.8359999999999999,2.6260000000000003,1.4180000000000001,1.999,2.035,3.205,2.968,3.048,2.3080000000000003,3.1510000000000002,2.745
Alpk1,1.058,0.68,0.71,0.8909999999999999,0.905,0.682,1.5130000000000001,1.266,1.415,0.996,1.265,1.5090000000000001
Lrrc24,9.01,9.253,6.817,9.401,7.972,9.797,6.443,6.75,5.854,8.724,7.162000000000001,7.917999999999999
Nup153,6.898,6.609,6.853,4.97,7.17,6.681,7.699,7.562,8.679,7.207000000000001,9.123,8.51
