if,value,class
IL-2,1.155205,CON
IL-2,0.49095,CON
IL-2,0.799322,CON
IL-2,0.821851,CON
IL-2,0.838771,CON
IL-2,0.667134,CON
IL-2,0.290286,SHED
IL-2,0.153483,SHED
IL-2,0.216277,SHED
IL-2,0.39364,SHED
IL-2,0.56599,SHED
CXCL-1,0.959103,CON
CXCL-1,0.93891,CON
CXCL-1,0.916215,CON
CXCL-1,1.474635,CON
CXCL-1,1.356659,CON
CXCL-1,0.986956,CON
CXCL-1,0.836512,CON
CXCL-1,0.925149,CON
CXCL-1,0.677249,SHED
CXCL-1,0.436622,SHED
CXCL-1,0.663863,SHED
CXCL-1,0.42826,SHED
CXCL-1,1.117255,SHED
NGF,0.776571,CON
NGF,0.993567,CON
NGF,1.256743,CON
NGF,1.106029,CON
NGF,1.054083,CON
NGF,1.200628,CON
NGF,1.068724,CON
NGF,0.957132,CON
NGF,0.844453,CON
NGF,0.822273,CON
NGF,0.919798,CON
NGF,1.278178,SHED
NGF,1.546588,SHED
NGF,1.6281,SHED
NGF,0.87745,SHED
NGF,1.22297,SHED
IL-6,0.974544,CON
IL-6,0.654697,CON
IL-6,0.778786,CON
IL-6,1.531875,CON
IL-6,1.060099,CON
IL-6,3.429976,SHED
IL-6,2.546999,SHED
IL-6,2.484402,SHED
IL-6,2.612622,SHED
IL-6,3.199172,SHED
IL-6,4.048531,SHED
IL-6,2.27947,SHED
IL-6,1.842543,SHED
IL-5,1.052457,CON
IL-5,1.389977,CON
IL-5,0.905233,CON
IL-5,0.95698,CON
IL-5,0.994168,CON
IL-5,1.339469,CON
IL-5,1.048452,CON
IL-5,0.806788,CON
IL-5,0.472001,SHED
IL-5,0.362075,SHED
IL-5,0.49509,SHED
IL-5,1.062352,SHED
IL-5,0.968122,SHED
IL-1,0.84745,CON
IL-1,0.707107,CON
IL-1,0.833874,CON
IL-1,0.596007,CON
IL-1,0.669938,CON
IL-1,1.399683,CON
IL-1,1.541784,CON
IL-1,1.251363,CON
IL-1,1.514142,CON
IL-1,0.002141,SHED
IL-1,0.015564,SHED
IL-1,0.719916,SHED
IL-1,0.592341,SHED
IL-1,0.478835,SHED
IL-1,0.638651,SHED
TNF β,0.906481875,CON
TNF β,0.903408303,CON
TNF β,0.806110812,CON
TNF β,0.938318801,CON
TNF β,1.109992615,CON
TNF β,0.783524384,CON
TNF β,0.812449518,CON
TNF β,1.118023163,CON
TNF β,0.659914068,CON
TNF β,1.530125597,CON
TNF β,1.507596215,CON
TNF β,0.924054647,CON
TNF β,1.252360645,SHED
TNF β,1.004759403,SHED
TNF β,1.135281509,SHED
TNF β,1.344947705,SHED
TNF β,1.679404872,SHED
TNF β,2.218908348,SHED
MAP2,1.10962,CON
MAP2,0.997208,CON
MAP2,0.850136,CON
MAP2,0.729847,CON
MAP2,0.903168,CON
MAP2,0.944659,CON
MAP2,1.177777,CON
MAP2,1.287584,CON
MAP2,1.263098,SHED
MAP2,1.468727,SHED
MAP2,1.288566,SHED
MAP2,1.165352,SHED
MAP2,0.9919,SHED
MAP2,1.06597,SHED
MAP2,0.702449,SHED
MAP2,0.879446,SHED
IL-4,1.265399,CON
IL-4,1.436435,CON
IL-4,1.075042,CON
IL-4,0.834563,CON
IL-4,1.181232,CON
IL-4,1.036624,CON
IL-4,0.783656,CON
IL-4,0.38705,CON
IL-4,0.312861,SHED
IL-4,0.194952,SHED
IL-4,0.42738,SHED
IL-4,0.37506,SHED
IL-4,0.21467,SHED
IL-4,0.442881,SHED
Ifngr1,1.083989,CON
Ifngr1,1.107764,CON
Ifngr1,1.575544,CON
Ifngr1,0.836392,CON
Ifngr1,1.240267,CON
Ifngr1,1.269755,CON
Ifngr1,0.828027,CON
Ifngr1,0.831248,CON
Ifngr1,0.506436,SHED
Ifngr1,0.281548,SHED
Ifngr1,0.396186,SHED
Ifngr1,1.053544,SHED
Ifngr1,0.691667,SHED
IL-1 β,0.721662,CON
IL-1 β,0.428419,CON
IL-1 β,0.408666,CON
IL-1 β,1.2598,CON
IL-1 β,1.689967,CON
IL-1 β,1.623148,CON
IL-1 β,0.472536,CON
IL-1 β,0.643805,CON
IL-1 β,0.63073,CON
IL-1 β,1.478152,CON
IL-1 β,1.343219,CON
IL-1 β,1.299895,CON
IL-1 β,1.780515,SHED
IL-1 β,0.616125,SHED
IL-1 β,0.788452,SHED
IL-1 β,1.470896,SHED
IL-1 β,1.171612,SHED
IL-1 β,1.68202,SHED
BDNF,0.971579,CON
BDNF,0.915609,CON
BDNF,0.986645,CON
BDNF,0.974277,CON
BDNF,1.15189,CON
BDNF,1.347237,SHED
BDNF,0.971646,SHED
BDNF,1.326205,SHED
BDNF,1.541573,SHED
BDNF,1.597154,SHED
BDNF,1.69855,SHED
