FQ,lab1,lab2,non1,non2
F6ZLC6,921.32,0,0,303.3674384
A0A1L1SQV7,17821,6621.523147,4413.130565,5166.555405
Q01149,11471,46160.62914,5384.415414,11526.57067
Q5RIU1,3619.8,7809.348163,1885.105701,2182.818764
Q3V0W6,1364.8,0,0,569.7339673
F6WM66,4368,7241.798139,2039.646059,3104.753018
Q8CJI4,13524,7854.745794,8524.998645,4029.384259
Q8K3J1,16105,21422.90284,8636.147823,10239.84729
Q925N0,4409.3,3973.009462,0,3792.571478
Q99LI2,7221.9,10670.51391,4202.559555,4969.762418
P07309,7905.3,25057.89907,4512.422094,10360.77667
A0A2R8VHF9,12321,20784.15021,6150.471708,10623.51532
Q810N9,14790,19390.36332,9538.111027,9839.649351
B7ZCB8,1290.7,1304.919045,711.1332249,820.2230779
Q9QZE5,2352.7,2357.490981,0,2435.552463
A0A0U1RP13,11880,9956.098565,8702.342176,5818.965047
Q5HZI2,8056.9,4681.531076,4803.260272,3954.216646
E9Q9I2,7323.8,6395.968604,7234.729989,2614.94554
Q8JZQ2,30196,24549.76418,17385.13878,18480.44487
Q8C7D2,3832.9,6399.632273,2423.13027,3789.526494
O35954,14443,15737.8452,0,16870.08316
P70188,17288,17204.90546,7022.074116,14808.19378
P04187,15360,12824.43235,11050.41743,8878.304299
Q5SUT0,10483,11279.6386,6228.263103,8092.002347
P62855,13294,8691.655092,8688.269361,7495.185419
A0A0G2JFP9,21369,25516.65407,15914.00838,16450.74532
E9Q812,4410.5,5946.611709,3065.397914,3880.963023
Q9Z1J3,4695.6,5516.051025,3568.761661,3576.203592
D3Z2X2,14737,17625.43088,10737.03669,11837.15907
D3Z4E3,16527,31647.72352,10301.43094,20116.03645
Q68ED7,16846,23866.41038,11860.77703,15797.37868
Q9R1P3,25970,42028.64833,17791.68677,27456.18867
P62317,62952,49038.9982,43431.57402,41732.81518
Q5F2E8,13122,17591.97999,9886.543504,12078.14783
A0A0G2JGW5,10942,12186.47618,6728.629861,9881.409136
Q9JJZ2,9992.8,10868.82987,7842.33681,7769.669006
A0A1D5RMH2,5975.2,9500.051492,4394.757724,6403.341039
Q8K2C9,9517,21056.536,6550.2439,13412.72096
Q9QYE3,13559,7889.630289,7873.088517,9270.672279
P24668,12735,12069.0795,9093.38401,9870.099194
G3X9N3,7899.3,7248.488316,5644.632189,6009.320067
A0A1W2P7H9,12195,17411.98237,8905.746475,12238.227
Q8BWT1,13286,16577.30313,10529.07176,11624.01017
F6V9F1,17259,14939.00619,15089.18506,10963.68356
Q8CGP0,4678,2224.483888,2616.110262,3089.615096
Z4YLQ1,16559,20924.32535,13038.20256,14999.59279
P51880,12073,9313.363693,9909.867892,7740.350157
