"gene_name","module"
"1","F6ZLC6","greenyellow"
"2","A0A1L1SQV7","greenyellow"
"3","Q01149","turquoise"
"4","Q5RIU1","turquoise"
"5","Q3V0W6","greenyellow"
"6","F6WM66","turquoise"
"7","Q8CJI4","cyan"
"8","Q8K3J1","yellow"
"9","Q925N0","brown"
"10","Q99LI2","turquoise"
"11","P07309","turquoise"
"12","A0A2R8VHF9","turquoise"
"13","Q810N9","yellow"
"14","B7ZCB8","yellow"
"15","Q9QZE5","brown"
"16","A0A0U1RP13","tan"
"17","Q5HZI2","greenyellow"
"18","E9Q9I2","grey60"
"19","Q8JZQ2","green"
"20","Q8C7D2","turquoise"
"21","O35954","black"
"22","P70188","brown"
"23","P04187","tan"
"24","Q5SUT0","brown"
"25","P62855","greenyellow"
"26","A0A0G2JFP9","yellow"
"27","E9Q812","turquoise"
"28","Q9Z1J3","yellow"
"29","D3Z2X2","yellow"
"30","D3Z4E3","turquoise"
"31","Q68ED7","turquoise"
"32","Q9R1P3","turquoise"
"33","P62317","lightgreen"
"34","Q5F2E8","turquoise"
"35","A0A0G2JGW5","brown"
"36","Q9JJZ2","yellow"
"37","A0A1D5RMH2","turquoise"
"38","Q8K2C9","pink"
"39","Q9QYE3","greenyellow"
"40","P24668","green"
"41","G3X9N3","green"
"42","A0A1W2P7H9","turquoise"
"43","Q8BWT1","turquoise"
"44","F6V9F1","tan"
"45","Q8CGP0","greenyellow"
"46","Z4YLQ1","turquoise"
"47","P51880","cyan"
"48","Q3UHX2","brown"
"49","Q922H2","green"
"50","A0A087","grey60"
"51","Z4YKQ9","yellow"
"52","A0A2I3BRT5","turquoise"
"53","Q8C729","turquoise"
"54","Q9CZS1","turquoise"
"55","P32921","turquoise"
"56","B1AZ85","yellow"
"57","E9Q7U8","turquoise"
"58","D3YV69","turquoise"
"59","Q8BUV3","yellow"
"60","Q9CPY7","turquoise"
"61","E9PUC2","yellow"
"62","O35215","red"
"63","A0A1W2P6P9","turquoise"
"64","P62309","black"
"65","Q60648","yellow"
"66","A2ARF6","green"
"67","P48722","brown"
"68","A0A286YDF2","turquoise"
"69","A0A1B0GS66","black"
"70","S4R1N6","turquoise"
"71","A0A1Y7VIQ5","green"
"72","Q9R0X4","green"
"73","O88531","midnightblue"
"74","A0A1C7CYU3","turquoise"
"75","Q99MN1","yellow"
"76","P55088","yellow"
"77","P51150","brown"
"78","Q8BSH2","yellow"
"79","Q9D0S9","yellow"
"80","P36993","tan"
"81","I7HLV2","green"
"82","J3QN87","turquoise"
"83","Q91ZA3","brown"
"84","Q08331","cyan"
"85","P06801","greenyellow"
"86","Q60771","brown"
"87","Q5PPR2","brown"
"88","Q9DBH5","turquoise"
"89","Q99KR7","green"
"90","Q8C170","greenyellow"
"91","P26041","yellow"
"92","Q80YD3","turquoise"
"93","E0CXI9","yellow"
"94","S4R2H5","purple"
"95","Q9QYP6","yellow"
"96","K3W4L8","pink"
"97","Q920G9","yellow"
"98","P98084","yellow"
"99","Q6NS52","tan"
"100","Q9JKR6","yellow"
"101","A0A1L1SUR7","brown"
"102","D3YU17","green"
"103","O35127","yellow"
"104","Q80YR4","brown"
"105","Q9DBE8","brown"
"106","A0A1B0GSH5","turquoise"
"107","Q6ZWZ6","purple"
"108","G3UYF9","purple"
"109","D3YZE7","turquoise"
"110","A0A1D5RL90","yellow"
"111","Q8K4T5","yellow"
"112","Q91WK5","lightgreen"
"113","B1ASP5","brown"
"114","B9EI21","blue"
"115","Q0VE82","green"
"116","E9Q9P4","black"
"117","Q9WVK4","turquoise"
"118","B9EKI5","pink"
"119","Q9QYB1","yellow"
"120","A0A0R4J083","brown"
"121","O54983","purple"
"122","Q8VEH5","green"
"123","Q61768","yellow"
"124","P0DP60","yellow"
"125","Q9DCN2","greenyellow"
"126","Q8BH40","turquoise"
"127","F8VQJ3","turquoise"
"128","Q8JZR6","black"
"129","E9Q616","lightgreen"
"130","J3QQ00","brown"
"131","P67984","tan"
"132","Q9QUR6","brown"
"133","G3V004","brown"
"134","Q9DB50","brown"
"135","Q9D1K2","green"
"136","A0A494BBG8","brown"
"137","Q9EQF6","lightgreen"
"138","Q64010","turquoise"
"139","P26048","yellow"
"140","P57759","turquoise"
"141","Q99KK7","purple"
"142","Q60597","yellow"
"143","D3Z6Z0","yellow"
"144","Q6NS60","turquoise"
"145","Q6ZPJ3","brown"
"146","P20152","green"
"147","Q9Z2X1","yellow"
"148","Q8CHX7","turquoise"
"149","D3YTK7","turquoise"
"150","Q5VCS6","brown"
"151","B2FDG7","yellow"
"152","A0A0A6YW23","brown"
"153","O70589","brown"
"154","Q61595","greenyellow"
"155","P62823","salmon"
"156","D6RIN4","green"
"157","Q9EQE2","yellow"
"158","Q8CIV8","green"
"159","Q922R8","yellow"
"160","Q9WV98","lightgreen"
"161","Q3UQ44","yellow"
"162","Q99KP3","yellow"
"163","A0A1D5RLS1","purple"
"164","P17156","lightgreen"
"165","P62192","purple"
"166","D3Z2H7","greenyellow"
"167","E9QA63","turquoise"
"168","E9Q2W9","brown"
"169","Q3TJ56","brown"
"170","P62073","tan"
"171","Q99JI4","brown"
"172","Q9CVB6","red"
"173","Q6Y685","green"
"174","A0A0G2JFF1","yellow"
"175","Q9Z2I8","brown"
"176","Q8BIW1","brown"
"177","Q6DFV8","turquoise"
"178","A0A140LHK6","yellow"
"179","Q8R001","yellow"
"180","P84104","yellow"
"181","E9QN44","cyan"
"182","A2A547","yellow"
"183","Q8BGD5","pink"
"184","D3YXG2","green"
"185","Q05793","turquoise"
"186","Q9WV54","green"
"187","Q9WUM3","purple"
"188","A0A3Q4EH04","brown"
"189","Q9CQX2","tan"
"190","Q8K4G5","yellow"
"191","Q3UVL4","turquoise"
"192","P70296","green"
"193","H3BJE9","black"
"194","Q9CXT8","turquoise"
"195","Q9JI91","yellow"
"196","Q8CGA0","turquoise"
"197","Q9CPU4","tan"
"198","A0A2R8W6G1","brown"
"199","A0A2R8VHM1","brown"
"200","Q62465","green"
"201","A0A338P6X2","turquoise"
"202","P60764","yellow"
"203","F7BX42","yellow"
"204","A0A0G2JFI6","turquoise"
"205","Q9DBS1","green"
"206","A0A0R4J2B2","brown"
"207","Q9QYJ0","yellow"
"208","Q9CR26","yellow"
"209","A0A0A6YY72","yellow"
"210","Q920I9","brown"
"211","Q8BTI8","cyan"
"212","E0CXB1","brown"
"213","Q8BGN8","purple"
"214","P17742","lightgreen"
"215","A0A0N4SUX2","turquoise"
"216","P23242","purple"
"217","Q920P5","purple"
"218","F6RJV6","yellow"
"219","D6REG4","turquoise"
"220","P63028","turquoise"
"221","P53657","turquoise"
"222","Q9CZY3","purple"
"223","A0A140LJB1","turquoise"
"224","Q5NCM6","greenyellow"
"225","O88952","yellow"
"226","Q9CXD6","brown"
"227","F6VG18","brown"
"228","P14206","turquoise"
"229","Q8BUK6","yellow"
"230","Q00PI9","tan"
"231","Q8K396","green"
"232","A0A0N4SVT3","black"
"233","P56942","yellow"
"234","A0A0N4SVB8","purple"
"235","G3UYQ2","black"
"236","Q91ZP9","tan"
"237","E9PXA7","midnightblue"
"238","Q9CZU6","yellow"
"239","Q6PGF7","green"
