Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs	Sequence coverage Sample1-rep-1 [%]	Sequence coverage Sample1-rep-3 [%]	Sequence coverage Sample1-rep-4 [%]	Sequence coverage Sample2-rep-1 [%]	Sequence coverage Sample2-rep-3 [%]	Sequence coverage Sample2-rep-4 [%]	Sequence coverage Sample3-rep-2 [%]	Sequence coverage Sample3-rep-3 [%]	Sequence coverage Sample3-rep-4 [%]
CON__P00761	CON__P00761	4	4	4		1	4	4	4	22.9	22.9	22.9	24.409	231	231	0	28.773	4469800000	6			+	0	2851;3213;5346;5356	True;True;True;True	2902;3270;5467;5477	3464;3886;6619;6629	4276;4797;4798;8174;8175;8186	4276;4797;8174;8186			-1	11.9	10.1	10.6	13.7	13.7	12.4	12.4	11.9	12.4
tr|A8MUF7|A8MUF7_HUMAN;tr|F8W6P5|F8W6P5_HUMAN;tr|E9PEW8|E9PEW8_HUMAN;tr|A0A2R8Y7R2|A0A2R8Y7R2_HUMAN;tr|E9PFT6|E9PFT6_HUMAN;CON__P02070;sp|P69892|HBG2_HUMAN;sp|P69891|HBG1_HUMAN;sp|P68871|HBB_HUMAN;sp|P02100|HBE_HUMAN;sp|P02042|HBD_HUMAN;tr|A0A2R8Y7X9|A0A2R8Y7X9_HUMAN;CON__Q3SX09	tr|A8MUF7|A8MUF7_HUMAN;tr|F8W6P5|F8W6P5_HUMAN;tr|E9PEW8|E9PEW8_HUMAN;tr|A0A2R8Y7R2|A0A2R8Y7R2_HUMAN;tr|E9PFT6|E9PFT6_HUMAN;CON__P02070;sp|P69892|HBG2_HUMAN;sp|P69891|HBG1_HUMAN;sp|P68871|HBB_HUMAN;sp|P02100|HBE_HUMAN;sp|P02042|HBD_HUMAN;tr|A0A2R8Y7X9|A0A2R8Y7X9_HUMAN;CON__Q3SX09	1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1	tr|A8MUF7|A8MUF7_HUMAN Hemoglobin subunit epsilon (Fragment) OS=Homo sapiens OX=9606 GN=HBE1 PE=1 SV=1;tr|F8W6P5|F8W6P5_HUMAN Hemoglobin subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=1;tr|E9PEW8|E9PEW8_HUMAN Hemoglobin subunit delta (Fragm	13	1	1	1	11.5	11.5	11.5	9.4698	87	87;90;104;111;141;145;147;147;147;147;147;168;201	0.00087796	7.6264	13794000	2			+	1	3046	TRUE	3099	3690	4559;4560	4559			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	37.7	37.7	37.7	31.6	37.7	37.7	37.7	37.7	31.6
CON__P02584	CON__P02584	2	2	2		1	2	2	2	20	20	20	15.057	140	140	0	17.235	14208000	2			+	2	915;4690	True;True	929;4801	1112;5788	1359;7142;7143	1359;7142			-1	23.1	26.3	23.9	19.3	21.2	41.1	25.4	23.5	23.5
sp|P02768|ALBU_HUMAN;CON__P02768-1;tr|A0A0C4DGB6|A0A0C4DGB6_HUMAN;tr|A0A087WWT3|A0A087WWT3_HUMAN;tr|H0YA55|H0YA55_HUMAN;tr|D6RHD5|D6RHD5_HUMAN;tr|B7WNR0|B7WNR0_HUMAN;tr|C9JKR2|C9JKR2_HUMAN;tr|H7C013|H7C013_HUMAN	sp|P02768|ALBU_HUMAN;CON__P02768-1;tr|A0A0C4DGB6|A0A0C4DGB6_HUMAN;tr|A0A087WWT3|A0A087WWT3_HUMAN;tr|H0YA55|H0YA55_HUMAN;tr|D6RHD5|D6RHD5_HUMAN;tr|B7WNR0|B7WNR0_HUMAN;tr|C9JKR2|C9JKR2_HUMAN	16;16;15;12;12;12;12;11;4	16;16;15;12;12;12;12;11;4	13;13;12;10;9;9;9;8;4	sp|P02768|ALBU_HUMAN Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2;;tr|A0A0C4DGB6|A0A0C4DGB6_HUMAN Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=1;tr|A0A087WWT3|A0A087WWT3_HUMAN Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=1;tr|H0YA	9	16	16	13	29.9	29.9	26.3	69.366	609	609;609;604;396;454;459;494;417;197	0	122.71	597020000	19			+	3	39;162;633;672;746;1304;1470;2651;3289;3318;3335;4177;4465;4873;5402;5674	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	39;164;644;684;759;1322;1491;2700;3346;3376;3393;4282;4575;4986;5525;5801	44;203;765;821;906;1568;1759;3228;3975;4022;4023;4042;5166;5513;5514;6003;6688;7012	50;248;916;998;1101;1910;2151;3982;4914;4972;4973;5000;6385;6807;6808;7401;8268;8269;8675	50;248;916;998;1101;1910;2151;3982;4914;4973;5000;6385;6808;7401;8269;8675			-1;-1;-1;-1;-1;-1;-1;-1;-1	48.3	51.7	48.3	18.8	27.2	15.2	15.5	19.9	18.6
CON__P02769	CON__P02769	11	8	8		1	11	8	8	21.3	17.6	17.6	69.293	607	607	0	56.918	75440000	9			+	4	720;1761;2651;2839;3317;3335;3345;4256;4874;5674;5950	True;True;False;True;True;False;True;True;True;False;True	732;1788;2700;2890;3375;3393;3403;4363;4987;5801;6078	873;2108;3228;3451;4021;4042;4053;5281;6004;7012;7335	1059;2596;3982;4256;4257;4971;5000;5013;6531;7402;8675;9067	1059;2596;3982;4256;4971;5000;5013;6531;7402;8675;9067			-1	41	39.8	35.1	41.5	39.8	49.4	39.8	46.1	34.9
sp|P04264|K2C1_HUMAN;CON__P04264;CON__Q9R0H5;CON__Q6IFZ6;sp|Q7Z794|K2C1B_HUMAN;CON__Q7Z794	sp|P04264|K2C1_HUMAN;CON__P04264	9;9;1;1;1;1	9;9;1;1;1;1	6;6;0;0;0;0	"sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6;"	6	9	9	6	18.6	18.6	13.4	66.038	644	644;644;524;572;578;578	0	179.28	179370000	10			+	5	958;1433;1638;1843;4501;4504;4526;5092;5926	True;True;True;True;True;True;True;True;True	972;1453;1664;1871;4611;4614;4636;5208;6053	1170;1713;1962;2199;5558;5561;5588;6266;7308	1436;2083;2413;2414;2704;6858;6862;6894;7722;9037	1436;2083;2413;2704;6858;6862;6894;7722;9037			-1;-1;-1;-1;-1;-1	22.2	22.6	16.9	20.3	33	45.7	21.8	19.2	15.9
CON__P12763	CON__P12763	1	1	1		1	1	1	1	4.2	4.2	4.2	38.418	359	359	0.0029564	6.1848	4793100	1			+	6	5121	TRUE	5238	6301	7770	7770			-1	36.6	37.6	25.3	40	29.2	56.3	41.1	37.8	41.3
sp|P13645|K1C10_HUMAN;CON__P13645;CON__P02535-1;tr|K7EMD9|K7EMD9_HUMAN;tr|K7ERE3|K7ERE3_HUMAN;CON__ENSEMBL:ENSP00000377550;CON__P08730-1;sp|P13646|K1C13_HUMAN;CON__P13646-1	sp|P13645|K1C10_HUMAN;CON__P13645	8;8;3;1;1;1;1;1;1	8;8;3;1;1;1;1;1;1	8;8;3;1;1;1;1;1;1	"sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6;"	9	8	8	8	23.3	23.3	23.3	58.826	584	584;593;570;165;415;420;437;458;458	0	60.191	74726000	9			+	7	134;348;3915;4165;4175;4549;4670;4977	True;True;True;True;True;True;True;True	134;352;4016;4270;4280;4659;4781;5092	170;427;4849;5152;5164;5613;5765;6137	206;512;6007;6368;6383;6924;7109;7561;7562	206;512;6007;6368;6383;6924;7109;7561			-1;-1;-1;-1;-1;-1;-1;-1;-1	9.8	9.8	7.2	7.6	7.6	19.7	9.2	5	7.2
sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908;CON__Q6NXH9;sp|P48668|K2C6C_HUMAN;sp|P02538|K2C6A_HUMAN;CON__P48668;CON__P04259;CON__P02538;CON__ENSEMBL:ENSBTAP00000038253;sp|Q01546|K22O_HUMAN;CON__Q3TTY5;sp|P19013|K2C4_HUMAN;CON__P19013	sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908	6;6;6;2;2;2;2;2;2;2;2;2;1;1	4;4;4;0;1;1;1;1;1;1;1;1;1;1	3;3;3;0;0;0;0;0;0;0;0;1;0;0	"sp|P35908|K22E_HUMAN Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2;;"	14	6	4	3	11.4	8.3	6.9	65.432	639	639;639;645;539;564;564;564;564;564;606;638;707;534;594	0	24.892	23518000	4			+	8	490;1433;1663;1858;2972;5371	True;False;True;True;False;True	498;1453;1689;1887;3025;5492	595;1713;1993;2220;3609;6650	716;2083;2448;2730;4454;8218	716;2083;2448;2730;4454;8218			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	19	19.5	18.5	24.1	29.8	32	22.5	21.5	24.9
sp|Q8N339|MT1M_HUMAN;sp|P80297|MT1X_HUMAN;sp|P04732|MT1E_HUMAN;sp|P02795|MT2_HUMAN;CON__P67983;sp|P13640|MT1G_HUMAN	sp|Q8N339|MT1M_HUMAN;sp|P80297|MT1X_HUMAN;sp|P04732|MT1E_HUMAN;sp|P02795|MT2_HUMAN;CON__P67983;sp|P13640|MT1G_HUMAN	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	sp|Q8N339|MT1M_HUMAN Metallothionein-1M OS=Homo sapiens OX=9606 GN=MT1M PE=3 SV=2;sp|P80297|MT1X_HUMAN Metallothionein-1X OS=Homo sapiens OX=9606 GN=MT1X PE=1 SV=1;sp|P04732|MT1E_HUMAN Metallothionein-1E OS=Homo sapiens OX=9606 GN=MT1E PE=1 SV=1;sp|P02795|	6	1	1	1	19.7	19.7	19.7	6.1103	61	61;61;61;61;61;62	0.0028612	6.0456	3553700	1			+	9	4348	TRUE	4456	5381	6649	6649			-1;-1;-1;-1;-1;-1	38.7	35.2	35.8	41.9	31.1	58.9	41.9	47	39.8
