Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
tr|F8W7U0|F8W7U0_HUMAN;CON__ENSEMBL:ENSBTAP00000001528;sp|Q15811|ITSN1_HUMAN;tr|A8CTZ0|A8CTZ0_HUMAN	tr|F8W7U0|F8W7U0_HUMAN;CON__ENSEMBL:ENSBTAP00000001528;sp|Q15811|ITSN1_HUMAN;tr|A8CTZ0|A8CTZ0_HUMAN	2;2;2;1	2;2;2;1	2;2;2;1	tr|F8W7U0|F8W7U0_HUMAN Intersectin-1 OS=Homo sapiens OX=9606 GN=ITSN1 PE=1 SV=1;;sp|Q15811|ITSN1_HUMAN Intersectin-1 OS=Homo sapiens OX=9606 GN=ITSN1 PE=1 SV=3;tr|A8CTZ0|A8CTZ0_HUMAN Intersectin 1 short form variant 13 OS=Homo sapiens OX=9606 GN=ITSN1 PE=1	4	2	2	2	4.8	4.8	4.8	130.01	1149	1149;1222;1721;877	0	23.568	28260000	4			+	0	2722;5740	True;True	2734;5782	3157;6793	3772;8156;8157;8158	3772;8157			-1;-1;-1;-1
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030;tr|A0A3B3ISA6|A0A3B3ISA6_HUMAN;tr|F5GXS0|F5GXS0_HUMAN;tr|A0A140TA49|A0A140TA49_HUMAN;tr|A0A140TA44|A0A140TA44_HUMAN;tr|A0A140TA32|A0A140TA32_HUMAN;tr|A0A140TA29|A0A140TA29_HUMAN;tr|A0A0G2JL54|A0A0G2JL54_HUMAN;tr|A0A0G2JPR0|A0A0G2JPR0_HUMAN;sp|P0C0L5|CO4B_HUMAN;sp|P0C0L4|CO4A_HUMAN	CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	3;2;1;1;1;1;1;1;1;1;1;1	3;2;1;1;1;1;1;1;1;1;1;1	3;2;1;1;1;1;1;1;1;1;1;1	;	12	3	3	3	1.8	1.8	1.8	192.99	1742	1742;1741;1296;1698;1698;1698;1698;1698;1698;1744;1744;1744	0	17.597	81612000	2			+	1	795;1527;3908	True;True;True	797;1535;3928	920;1771;4582	1115;2114;5494	1115;2114;5494			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
CON__P00761	CON__P00761	4	4	4		1	4	4	4	22.9	22.9	22.9	24.409	231	231	0	28.362	3042100000	8			+	2	3878;4395;6941;6958	True;True;True;True	3898;4417;6995;7012	4535;5145;8223;8241	5428;6173;6174;9910;9911;9912;9913;9935	5428;6173;9912;9935			-1
tr|A8MUF7|A8MUF7_HUMAN;tr|F8W6P5|F8W6P5_HUMAN;tr|E9PEW8|E9PEW8_HUMAN;tr|A0A2R8Y7R2|A0A2R8Y7R2_HUMAN;tr|E9PFT6|E9PFT6_HUMAN;CON__P02070;sp|P69892|HBG2_HUMAN;sp|P69891|HBG1_HUMAN;sp|P68871|HBB_HUMAN;sp|P02100|HBE_HUMAN;sp|P02042|HBD_HUMAN;tr|A0A2R8Y7X9|A0A2R8Y7X9_HUMAN;CON__Q3SX09	tr|A8MUF7|A8MUF7_HUMAN;tr|F8W6P5|F8W6P5_HUMAN;tr|E9PEW8|E9PEW8_HUMAN;tr|A0A2R8Y7R2|A0A2R8Y7R2_HUMAN;tr|E9PFT6|E9PFT6_HUMAN;CON__P02070;sp|P69892|HBG2_HUMAN;sp|P69891|HBG1_HUMAN;sp|P68871|HBB_HUMAN;sp|P02100|HBE_HUMAN;sp|P02042|HBD_HUMAN;tr|A0A2R8Y7X9|A0A2R8Y7X9_HUMAN;CON__Q3SX09	1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1	tr|A8MUF7|A8MUF7_HUMAN Hemoglobin subunit epsilon (Fragment) OS=Homo sapiens OX=9606 GN=HBE1 PE=1 SV=1;tr|F8W6P5|F8W6P5_HUMAN Hemoglobin subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=1;tr|E9PEW8|E9PEW8_HUMAN Hemoglobin subunit delta (Fragm	13	1	1	1	11.5	11.5	11.5	9.4698	87	87;90;104;111;141;145;147;147;147;147;147;168;201	0.00084317	10.51	287060000	2			+	3	4168	True	4189	4893	5859;5860	5860			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
CON__P02584;sp|P07737|PROF1_HUMAN;tr|I3L3D5|I3L3D5_HUMAN	CON__P02584	3;1;1	3;1;1	3;1;1		3	3	3	3	28.6	28.6	28.6	15.057	140	140;140;165	0	24.156	134410000	2			+	4	1140;1144;6171	True;True;True	1146;1150;6216	1324;1325;1330;7296	1598;1599;1605;8780	1598;1605;8780			-1;-1;-1
CON__P02769;tr|H0YA55|H0YA55_HUMAN;tr|C9JKR2|C9JKR2_HUMAN;tr|D6RHD5|D6RHD5_HUMAN;tr|B7WNR0|B7WNR0_HUMAN	CON__P02769	77;7;5;5;5	77;7;5;5;5	70;0;0;0;0		5	77	77	70	87.8	87.8	82.5	69.293	607	607;454;417;459;494	0	323.31	197310000000	248			+	5	171;194;424;650;651;794;796;797;798;799;879;891;892;919;1035;1163;1221;1276;1277;1278;1630;1631;1632;1684;1685;1686;1825;2271;2567;2610;2611;2633;2638;3575;3618;3675;3676;3740;3854;3855;3856;3883;4006;4013;4018;4019;4523;4542;4552;4808;4959;5261;5347;5485;5486;5532;5613;5639;5640;5682;5892;5893;5999;6369;6836;6837;6933;6934;7100;7101;7334;7446;7725;7780;7781;7793;7794	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	171;194;424;652;653;796;798;799;800;801;882;894;895;923;1039;1169;1227;1282;1283;1284;1638;1639;1640;1693;1694;1695;1834;2282;2579;2622;2623;2645;2650;3594;3637;3694;3695;3760;3874;3875;3876;3903;4027;4034;4039;4040;4545;4564;4574;4837;4838;4995;5301;5388;5527;5528;5574;5655;5681;5682;5724;5934;5935;6042;6414;6889;6890;6891;6987;6988;7154;7155;7389;7502;7782;7837;7838;7850;7851	198;225;226;227;476;743;744;916;917;918;919;921;922;923;924;925;1013;1014;1031;1032;1033;1065;1200;1354;1416;1484;1485;1486;1487;1488;1881;1882;1883;1884;1942;1943;1944;1945;1946;2094;2610;2963;3011;3012;3013;3014;3044;3045;3050;3051;4172;4173;4218;4219;4220;4221;4284;4285;4364;4494;4495;4496;4497;4498;4499;4500;4501;4502;4503;4504;4505;4506;4507;4508;4509;4510;4511;4512;4541;4542;4543;4544;4545;4546;4547;4548;4549;4550;4551;4552;4553;4554;4555;4702;4703;4704;4712;4713;4718;4719;4720;4721;4722;5311;5312;5335;5336;5348;5626;5627;5628;5629;5630;5833;6218;6316;6317;6318;6480;6481;6482;6535;6628;6659;6660;6661;6662;6663;6664;6665;6666;6667;6668;6669;6670;6671;6672;6673;6674;6675;6676;6723;6724;6725;6726;6727;6967;6968;6969;6970;6971;6972;6973;6974;6975;7094;7095;7529;7530;7531;8091;8092;8093;8094;8095;8096;8097;8098;8099;8212;8213;8214;8215;8414;8415;8416;8417;8693;8820;8821;9141;9142;9206;9207;9219;9220;9221;9222	247;248;276;277;278;279;280;281;569;897;898;1111;1112;1113;1114;1116;1117;1118;1119;1120;1121;1220;1221;1222;1223;1224;1245;1246;1247;1248;1288;1441;1633;1705;1783;1784;1785;1786;1787;1788;1789;1790;2248;2249;2250;2251;2252;2323;2324;2325;2326;2327;2328;2329;2330;2501;3122;3543;3598;3599;3600;3601;3602;3641;3642;3643;3648;3649;4998;4999;5050;5051;5052;5053;5054;5127;5128;5129;5130;5131;5230;5381;5382;5383;5384;5385;5386;5387;5388;5389;5390;5391;5392;5393;5394;5395;5396;5397;5398;5399;5400;5401;5402;5436;5437;5438;5439;5440;5441;5442;5443;5444;5445;5446;5447;5448;5449;5450;5451;5452;5453;5454;5455;5456;5457;5458;5459;5460;5461;5462;5463;5464;5637;5638;5639;5647;5648;5653;5654;5655;5656;5657;5658;5659;5660;5661;5662;6375;6376;6377;6378;6408;6409;6410;6424;6749;6750;6751;6752;6753;7011;7480;7481;7595;7596;7597;7787;7788;7789;7790;7853;7854;7973;8007;8008;8009;8010;8011;8012;8013;8014;8015;8016;8017;8018;8019;8020;8021;8022;8023;8024;8025;8026;8027;8078;8079;8080;8081;8082;8083;8372;8373;8374;8375;8376;8377;8378;8379;8380;8381;8382;8383;8384;8385;8386;8387;8388;8389;8390;8542;8543;8544;9058;9059;9060;9746;9747;9748;9749;9750;9751;9752;9753;9754;9755;9895;9896;9897;9898;9899;10153;10154;10155;10156;10157;10158;10496;10497;10651;10652;11048;11049;11050;11051;11125;11126;11127;11140;11141;11142;11143;11144;11145	248;277;569;897;898;1112;1116;1118;1120;1121;1222;1246;1247;1288;1441;1633;1705;1783;1786;1789;2249;2250;2252;2323;2326;2330;2501;3122;3543;3599;3602;3641;3649;4999;5052;5127;5130;5230;5381;5400;5401;5439;5638;5647;5654;5658;6375;6409;6424;6751;7011;7481;7595;7787;7790;7854;7973;8007;8025;8081;8374;8386;8543;9060;9749;9754;9897;9899;10154;10158;10496;10652;11049;11126;11127;11140;11143	0	469	-1;-1;-1;-1;-1
sp|P04264|K2C1_HUMAN;CON__P04264	sp|P04264|K2C1_HUMAN;CON__P04264	6;6	6;6	5;5	sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6;	2	6	6	5	12.9	12.9	11.3	66.038	644	644;644	0	68.787	73453000	9			+	6	2366;3679;5403;5949;7582;7671	True;True;True;True;True;True	2378;3698;5445;5991;7639;7728	2718;2719;4288;6386;6387;7039;8974;9082	3251;3252;5136;7678;7679;8472;8473;10839;10977;10978	3252;5136;7679;8473;10839;10977			-1;-1
sp|P13645|K1C10_HUMAN;CON__P13645	sp|P13645|K1C10_HUMAN;CON__P13645	3;3	3;3	3;3	sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6;	2	3	3	3	12.5	12.5	12.5	58.826	584	584;593	0	35.265	82473000	4			+	7	2370;5239;6494	True;True;True	2382;5279;6542	2728;6195;7680	3263;7453;9238;9239	3263;7453;9238			-1;-1
CON__P35527;sp|P35527|K1C9_HUMAN;tr|K7EQQ3|K7EQQ3_HUMAN	CON__P35527;sp|P35527|K1C9_HUMAN;tr|K7EQQ3|K7EQQ3_HUMAN	3;3;2	3;3;2	3;3;2	;sp|P35527|K1C9_HUMAN Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3;tr|K7EQQ3|K7EQQ3_HUMAN Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=1	3	3	3	3	10.9	10.9	10.9	62.129	623	623;623;390	0	33.256	48378000	3			+	8	992;2132;5856	True;True;True	996;2143;5898	1146;2446;6922	1384;2924;8313	1384;2924;8313			-1;-1;-1
CON__Q2UVX4	CON__Q2UVX4	2	2	2		1	2	2	2	1.6	1.6	1.6	187.37	1662	1662	0	12.964	53047000	2			+	9	203;4628	True;True	203;4651	236;5428	291;6524	291;6524			-1
